name,legal_name,org_number,city,revenue,employees,emails,phone,website,sni2,sni_codes,registration_date,company_age_years,share_capital,priority_score
Schur Pack Sweden AB,Schur Pack Sweden AB,556242-6816,Kumla,506588,106.0,[],019-58 72 00,https://www.lantmannenunibake.se/siteassets/sweden/documents/certifikat/tillbehor/certitifkat_semlekartong_doc-schur-pack---unibake---cbc_210203.pdf,17,['17219 Övrig tillverkning av pappers- och pappförpackningar'],1987-03-17,38.5,7000.0,0.262
Castellum City Förvaltning AB,Castellum City Förvaltning AB,556573-3952,Örebro,472228,13.0,[],019-27 65 00,https://www.castellum.se/har-finns-vi/vaxjo/,68,"['68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler']",1999-07-13,26.2,100.0,0.255
Baettr Guldsmedshyttan AB,Baettr Guldsmedshyttan AB,556040-0854,Guldsmedshyttan,468823,127.0,[],0581-451 00,https://www.oru.se/samverkan/samverka-med-studenter/campusmassan/for-studenter/utstallare-2025/baettr/,24,"['24510 Gjutning av järn', '38320 Återvinning av källsorterat material']",1941-04-04,84.4,11000.0,0.262
Hörmann Svenska AB,Hörmann Svenska AB,556547-0241,Örebro,429170,140.0,[],010-190 02 00,https://www.hoermann.se/,46,"['46731 Partihandel med virke och andra byggmaterial', '43320 Byggnadssnickeriarbeten']",1997-10-08,27.9,500.0,0.273
Meribel Pharma Karlskoga AB,Meribel Pharma Karlskoga AB,556662-4366,Karlskoga,420863,164.0,[],0586-682 00,https://www.nwt.se/2025/08/11/explosiv-resultatforbattring-for-meribel-pharma-karlskoga-ab-9e3e9/,21,['21200 Tillverkning av läkemedel'],2004-05-19,21.3,100.0,0.239
"Caravan-Trailer, Engstrand & Co. Aktiebolag","Caravan-Trailer, Engstrand & Co. Aktiebolag",556117-6230,Örebro,416980,55.0,[],019-37 00 10,http://www.fbt.se/?index=fbtcompany&company_id=26277,45,"['45192 Handel med husvagnar, husbilar, släpfordon och påhängsvagnar', '45110 Handel med personbilar och lätta motorfordon']",1968-06-11,57.2,500.0,0.286
Lindesberg's Bygg AB,Lindesberg's Bygg AB,556739-7376,Lindesberg,384130,24.0,[],070-289 70 83,https://www.lindesbergsbygg.com/,43,['43999 Diverse övrig specialiserad bygg- och anläggningsverksamhet'],2007-10-11,17.9,100.0,0.262
Johnson Metall Aktiebolag,Johnson Metall Aktiebolag,556062-0196,Örebro,360383,115.0,[],019-17 51 00,https://www.johnson-metall.com/,28,"['28150 Tillverkning av lager, kugghjul och andra delar för kraftöverföring', '24440 Framställning av koppar', '46720 Partihandel med metaller och metallmalmer']",1955-10-05,69.9,10000.0,0.291
Noratel Sweden AB,Noratel Sweden AB,556466-5569,Laxå,323362,21.0,[],0584-44 44 00,https://www.rexel.se/swe/Varum%C3%A4rke/Noratel/c/00269,46,"['46699 Partihandel med diverse övriga maskiner och utrustning', '27110 Tillverkning av elmotorer, generatorer och transformatorer']",1993-05-13,32.3,5000.0,0.25
"MOAB, Michael Oldin Aktiebolag","MOAB, Michael Oldin Aktiebolag",556279-2894,Kumla,319660,39.0,[],019-58 70 70,https://www.moab.se/,10,['10112 Styckning av kött'],1986-06-13,39.2,1000.0,0.244
Nobeli Business Support Aktiebolag,Nobeli Business Support Aktiebolag,556016-3247,Karlskoga,318386,154.0,[],,https://nobeli.se/,69,"['69201 Redovisning och bokföring', '46699 Partihandel med diverse övriga maskiner och utrustning', '55101 Hotellverksamhet med restaurangrörelse', '70100 Verksamheter som utövas av huvudkontor']",1918-10-16,106.9,267.0,0.142
Interoc Akustik AB,Interoc Akustik AB,556852-6080,Örebro,317992,179.0,[],010-456 26 00,https://interocakustik.se/,43,['43390 Annan slutbehandling av byggnader'],2011-05-12,14.3,500.0,0.272
Trädgårdshallen Sverige AB,Trädgårdshallen Sverige AB,556381-2451,Örebro,294512,44.0,[],,https://www.tradgardshallen.se/,46,['46310 Partihandel med frukt och grönsaker'],1989-12-22,35.7,650.0,0.147
SWEDEN TIMBER HJORTKVARN AB,SWEDEN TIMBER HJORTKVARN AB,556904-4778,Hjortkvarn,293719,50.0,[],0582-352 00,https://www.swedentimber.se/,16,"['16102 Hyvling av trä', '16101 Sågning av trä']",2012-09-24,13.0,25000.0,0.24
Edekyl & Värme AB,Edekyl & Värme AB,556191-0554,Örebro,291611,96.0,[],,http://www.edekyl.se/privat,43,['43223 Kyl- och frysinstallationsarbeten'],1975-12-11,49.7,100.0,0.158
Logstor Sverige Holding AB,Logstor Sverige Holding AB,556704-4465,Örebro,282157,9.0,[],019-20 81 00,https://byggkatalogen.byggtjanst.se/leverantor/logstor-sverige-holding-ab/683,46,['46742 Partihandel med VVS-varor'],2006-05-19,19.3,100.0,0.242
AQ Special Sheet Metal AB,AQ Special Sheet Metal AB,559138-9753,Västerås,278019,136.0,[],0582-450 00,http://www.aqgroup.com/sv/specialsheetmetal,25,"['25620 Metallegoarbeten', '29320 Tillverkning av andra delar och tillbehör till motorfordon']",2017-12-12,7.7,100.0,0.192
ProteinBolaget i Sverige AB,ProteinBolaget i Sverige AB,556884-6132,Karlskoga,252242,46.0,[],072-733 71 11,https://www.proteinbolaget.se/,47,['47919 Postorderhandel och detaljhandel på Internet med övriga varor'],2012-02-16,13.6,54.0,0.224
EcoGuard AB,EcoGuard AB,556502-5755,Örebro,245614,86.0,[],019-25 21 00,https://ecoguard.se/,46,"['46521 Partihandel med elektronikkomponenter', '62090 Andra IT- och datatjänster', '70100 Verksamheter som utövas av huvudkontor']",1995-01-02,30.7,513.0,0.27
Tormek AB,Tormek AB,556586-5788,Lindesberg,231666,40.0,[],,https://tormek.com/sv,28,"['28410 Tillverkning av verktygsmaskiner för metallbearbetning', '23910 Slipmedelstillverkning']",2000-02-24,25.5,100.0,0.135
Bra Gross Sverige Aktiebolag,Bra Gross Sverige Aktiebolag,556575-9585,Örebro,230705,37.0,[],019-20 62 00,https://www.bragross.se/,46,['46742 Partihandel med VVS-varor'],1999-10-29,25.9,500.0,0.264
Närke Kött i Örebro AB,Närke Kött i Örebro AB,556834-9954,Örebro,228570,18.0,[],,https://www.martinservera.se/kunskap/regionalt/svealand/narke-kott,10,['10112 Styckning av kött'],2010-12-21,14.7,52.0,0.109
Evolent AB,Evolent AB,559221-2616,Örebro,225153,22.0,[],,https://www.byggindustrin.se/affarer/konkurs/omsatte-225-miljoner-nu-har-evolent-gatt-i-konkurs/,71,"['71121 Teknisk konsultverksamhet inom bygg- och anläggningsteknik', '71122 Teknisk konsultverksamhet inom industriteknik', '70220 Konsultverksamhet avseende företags organisation']",2019-10-02,5.9,50.0,0.086
Winn Scandinavia AB,Winn Scandinavia AB,556792-9632,Örebro,222542,81.0,[],,https://www.brl.se/sv/artiklar/b2b-winn-scandinavia/index.html,47,['47430 Specialiserad butikshandel med ljud- och bildanläggningar samt videoutrustning'],2009-11-05,15.8,100.0,0.142
Saferoad Services AB,Saferoad Services AB,556520-7478,Kumla,214477,46.0,[],,https://www.saferoad-services.se/,42,['42110 Anläggning av vägar och motorvägar'],1995-07-18,30.1,13700.0,0.15
Oppboga Bruk Aktiebolag,Oppboga Bruk Aktiebolag,556548-1214,Fellingsbro,210120,29.0,[],0581-62 80 00,https://da.se/2021/04/vem-ager-ditt-bruk/,17,['17129 Övrig tillverkning av papper och papp'],1997-11-04,27.8,5000.0,0.252
CarDeal Örebro AB,CarDeal Örebro AB,559234-0268,Örebro,208040,12.0,[],,https://www.bytbil.com/handlare/cardeal-orebro-ab-9831,45,['45110 Handel med personbilar och lätta motorfordon'],2019-12-23,5.7,50.0,0.092
Unika Kungsängen AB,Unika Kungsängen AB,556714-0420,Danderyd,206589,206.0,[],010-202 98 00,https://www.unika.se/,87,"['87201 Boende med särskild service för personer med utvecklingsstörning eller  psykiska funktionshinder', '88102 Öppna sociala insatser för personer med funktionshinder']",2006-10-30,18.9,120.0,0.238
Torghallen i Askersund AB,Torghallen i Askersund AB,556550-3967,Askersund,196784,47.0,[],0583-871 70,https://www.ica.se/erbjudanden/ica-torghallen-askersund-1004685/,47,"['47112 Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad']",1997-12-19,27.7,100.0,0.25
Vossloh Rail Services Scandinavia AB,Vossloh Rail Services Scandinavia AB,556895-1148,Örebro,191174,10.0,[],,https://via.tt.se/pressrum/3235983/vossloh-rail-services-scandinavia,42,['42120 Anläggning av järnvägar och tunnelbanor'],2012-06-04,13.3,50.0,0.1
Matbutiken i Nora AB,Matbutiken i Nora AB,556821-9470,Nora,186570,35.0,[],0587-801 80,https://www.ica.se/butiker/supermarket/nora/ica-supermarket-nora-1004536/,47,"['47112 Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad']",2010-10-26,14.9,100.0,0.23
HMB Construction Örebro AB,HMB Construction Örebro AB,559267-7735,Falun,185003,27.0,[],,https://www.afgruppen.se/selskaper/hmbcon/,41,['41200 Byggande av bostadshus och andra byggnader'],2020-08-20,5.1,500.0,0.098
Röhnisch Sportswear Aktiebolag,Röhnisch Sportswear Aktiebolag,556130-5649,Örebro,179507,40.0,[],,https://www.indutrade.se/siteassets/agm/2021/presentation-av-indutrades-styrelse-2021.pdf,46,['46420 Partihandel med kläder och skodon'],1969-11-17,55.8,1000.0,0.149
KAPMA Kapacitet Mark & Anläggning AB,KAPMA Kapacitet Mark & Anläggning AB,559339-4116,Lekeryd,164200,10.0,[],,https://www.kapma.se/,43,['43120 Mark- och grundarbeten'],2021-10-08,3.9,50.0,0.14
Parkhallen i Örebro Aktiebolag,Parkhallen i Örebro Aktiebolag,556427-7175,Örebro,163462,39.0,[],,https://www.icafastigheter.se/vara-projekt/2024/orebro/,47,"['47112 Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad']",1991-06-10,34.3,100.0,0.152
Asplunds Fastigheter i Örebro AB,Asplunds Fastigheter i Örebro AB,556090-8054,Örebro,153039,18.0,[],019-10 01 00,https://asplundsfastigheter.se/,68,"['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder', '68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler']",1964-01-08,61.7,15000.0,0.289
Fastighetsaktiebolaget Marieberg Galleria,Fastighetsaktiebolaget Marieberg Galleria,556285-7457,Stockholm,152366,0.0,[],08-508 999 00,https://www.domstol.se/globalassets/filer/domstol/markochmiljooverdomstolen/avgoranden/2019/p-1225-19.pdf,68,"['68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler']",1986-11-05,38.8,4000.0,0.238
VERMEER V1K1NG AB,VERMEER V1K1NG AB,556858-5664,Askersund,151902,12.0,[],,https://vermeerviking.se/,46,"['46630 Partihandel med gruv-, bygg- och anläggningsmaskiner']",2011-07-04,14.2,100.0,0.099
Söderlunds Slow Food AB,Söderlunds Slow Food AB,556617-1236,Örebro,150375,30.0,[],019-12 31 35,https://www.nwt.se/2024/10/10/cguns-livsmedel-ab-har-ar-senaste-arsredovisningen-70455/,47,"['47112 Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad', '10130 Charkuteri- och annan köttvarutillverkning', '10850 Tillverkning av lagad mat och färdigrätter', '10200 Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur']",2001-10-22,23.9,100.0,0.272
Hellefors Bryggeri Aktiebolag,Hellefors Bryggeri Aktiebolag,556427-6060,Stockholm,150176,3.0,[],0591-688 00,https://helleforsbryggeri.se/,46,['46340 Partihandel med drycker'],1991-06-25,34.2,900.0,0.23
Axima DTS AB,Axima DTS AB,556060-6708,Grästorp,149064,21.0,[],,https://www.axima.se/anlaggningar/kumla/,46,['46610 Partihandel med jordbruksmaskiner och -utrustning'],1955-01-05,70.7,300.0,0.125
Legosan Aktiebolag,Legosan Aktiebolag,556354-6356,Kumla,148939,34.0,[],,https://www.legosan.se/,10,['10890 Framställning av andra livsmedel'],1989-03-22,36.5,1000.0,0.134
Flex Interior Systems Aktiebolag,Flex Interior Systems Aktiebolag,556453-3015,Örebro,146657,51.0,[],019-10 02 30,https://flex.se/,46,['46731 Partihandel med virke och andra byggmaterial'],1992-09-17,33.0,450.0,0.266
Transfer Galaxy AB,Transfer Galaxy AB,556978-4464,Örebro,145325,67.0,[],,https://www.svd.se/a/bGv5pB/fem-grundare-av-transfer-galaxy-kandidat-till-svd-affarsbragd-2022,66,['66190 Andra stödtjänster till finansiella tjänster utom försäkring och pensionsfondsverksamhet'],2014-07-31,11.1,101.0,0.107
Linde Energi Elnät AB,Linde Energi Elnät AB,556468-5278,Lindesberg,143381,0.0,[],0581-887 00,https://www.lindeenergi.se/elnat,35,['35120 Överföring av elektricitet'],1993-06-08,32.3,19600.0,0.264
Örebro Elithockey AB,Örebro Elithockey AB,556914-3513,Örebro,140941,65.0,[],019-13 00 30,https://axoconsulting.se/wp-content/uploads/2024/07/Rollbeskrivning-VD-OHK-.pdf,93,['93120 Sportklubbars och idrottsföreningars verksamhet'],2012-12-11,12.7,50.0,0.225
Maskin o Transport i Örebro AB,Maskin o Transport i Örebro AB,556670-7062,Örebro,139162,2.0,[],070-519 90 08,https://aktivskola.org/vara-vanner/orebro_lan/,49,"['49410 Vägtransport, godstrafik', '78200 Personaluthyrning']",2004-11-11,20.8,100.0,0.237
Four FM AB,Four FM AB,556972-8123,Örebro,138707,97.0,[],019-18 50 00,https://www.motonet.se/produkt/four-mobile-4-fmtbt12-bluetooth-fm-sandare?product=65-04160,81,['81100 Fastighetsrelaterade stödtjänster'],2014-05-26,11.3,50.0,0.222
Örebro Säkerhetscenter AB,Örebro Säkerhetscenter AB,556709-0583,Örebro,138173,20.0,[],,https://orebrosakerhetscenter.se/,46,"['46699 Partihandel med diverse övriga maskiner och utrustning', '80200 Säkerhetssystemtjänster']",2006-08-18,19.1,100.0,0.128
SSE Sverige AB,SSE Sverige AB,556294-4594,Nora,137929,37.0,[],0587-145 45,https://www.sse-sverige.se/Om-Oss,20,['20510 Sprängämnestillverkning'],1987-02-25,38.5,1350.0,0.246
Supermarket Örebro Aktiebolag,Supermarket Örebro Aktiebolag,556731-6228,Örebro,137337,29.0,[],019-16 70 50,https://www.ica.se/butiker/supermarket/orebro/,47,"['47112 Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad', '10200 Beredning och hållbarhetsbehandling av fisk samt skal- och blötdjur', '10850 Tillverkning av lagad mat och färdigrätter']",2007-06-13,18.2,100.0,0.265
Omegapoint Örebro AB,Omegapoint Örebro AB,556691-4593,Örebro,135835,79.0,[],,https://www.omegapoint.se/,62,['62010 Dataprogrammering'],2005-11-25,19.8,108.0,0.156
H. Dahlqvist Åkeri i Zinkgruvan Aktiebolag,H. Dahlqvist Åkeri i Zinkgruvan Aktiebolag,556438-1738,Zinkgruvan,135486,70.0,[],,https://www.kt-kuriren.se/2023/12/28/hans-hugossons-akeri-aktiebolag-nu-ar-redovisningen-klar-sa-ser-siffrorna-ut-4dba3/,08,"['08120 Utvinning av sand, grus och berg; utvinning av lera och kaolin', '23701 Huggning, formning och slutlig bearbetning av sten för byggnadsändamål', '49410 Vägtransport, godstrafik', '43120 Mark- och grundarbeten']",1991-12-04,33.8,100.0,0.126
Marin & Fritid i Askersund Aktiebolag,Marin & Fritid i Askersund Aktiebolag,556353-9096,Laxå,132743,32.0,[],0584-122 22,https://www.honda.se/marine/dealers/S38123.html,47,['47643 Specialiserad butikshandel med båtar'],1989-03-07,36.5,950.0,0.261
OnePartnerGroup Örebro AB,OnePartnerGroup Örebro AB,559093-9178,Jönköping,132179,207.0,[],019-689 01 30,https://www.onepartnergroup.se/kontor/orebro,78,['78100 Arbetsförmedling och rekrytering'],2016-12-22,8.7,50.0,0.197
Lindehallen AB,Lindehallen AB,556475-8679,Lindesberg,129069,29.0,[],0581-838 30,https://www.ica.se/erbjudanden/ica-supermarket-lindesberg-1004424/,47,"['47112 Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad']",1993-11-03,31.8,300.0,0.279
EMUGE-Franken AB,EMUGE-Franken AB,556402-3793,Örebro,127631,22.0,[],019-24 50 00,https://www.emuge-franken.se/sv/,46,['46620 Partihandel med verktygsmaskiner'],1990-08-20,35.1,200.0,0.255
C. Gustafsson Livs Aktiebolag,C. Gustafsson Livs Aktiebolag,556578-0250,Hällefors,123706,27.0,[],0591-48 78 80,https://www.transportstyrelsen.se/TSFS/TSFS%202023_2.pdf,47,"['47112 Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad']",1999-11-02,25.9,300.0,0.253
Närlant Import Aktiebolag,Närlant Import Aktiebolag,556411-3628,Örebro,121875,13.0,[],019-603 60 60,https://www.narlant.se/,46,['46610 Partihandel med jordbruksmaskiner och -utrustning'],1990-11-13,34.8,305.0,0.254
Melius Assistans AB,Melius Assistans AB,556505-8905,Örebro,121849,271.0,[],020-15 11 00,https://assistanskoll.se/20220824-Lystra-assistans-nu-konkurs.html,88,['88102 Öppna sociala insatser för personer med funktionshinder'],1995-01-24,30.6,100.0,0.267
ÅV-BYGG I ÅSBRO Aktiebolag,ÅV-BYGG I ÅSBRO Aktiebolag,556406-5133,Askersund,119382,33.0,[],0582-505 05,https://www.askersund.se/download/18.68844d4b18bcc47ae183a4e/1700208324430/Bo%20i%20Askersund%20nr%203%202018.pdf,41,"['41200 Byggande av bostadshus och andra byggnader', '43330 Golv- och väggbeläggningsarbeten']",1990-10-16,34.9,200.0,0.252
LAJAC AB,LAJAC AB,556779-4044,Örebro,119002,25.0,[],019-32 00 87,https://lajac.se/,46,['46742 Partihandel med VVS-varor'],2009-03-12,16.5,100.0,0.238
Bilhallen i Örebro AB,Bilhallen i Örebro AB,556714-9132,Örebro,118673,6.0,[],019-26 26 03,https://www.bytbil.com/handlare/bilhallen-i-orebro-ab-4978,45,['45110 Handel med personbilar och lätta motorfordon'],2006-11-07,18.8,100.0,0.257
Arbesko Aktiebolag,Arbesko Aktiebolag,556071-2514,Kumla,116437,21.0,[],019-30 66 00,https://arbesko.com/se/hem/kontakt.html,46,['46420 Partihandel med kläder och skodon'],1960-03-11,65.5,5000.0,0.25
Skyllberg Industri Aktiebolag,Skyllberg Industri Aktiebolag,556569-8478,Skyllberg,115198,38.0,[],0583-403 00,https://www.skyllbergindustri.se/,25,"['25930 Tillverkning av metalltrådvaror, kedjor och fjädrar', '24100 Framställning av järn och stål samt ferrolegeringar']",1999-05-20,26.3,3000.0,0.247
Aktiebolaget Bandindustri,Aktiebolaget Bandindustri,556037-6518,Kumla,113917,63.0,[],019-58 99 00,https://bandi.se/sv/,13,"['13960 Tillverkning av andra tekniska textilier och industritextilier', '15200 Tillverkning av skodon', '13922 Tillverkning av presenningar, tält, segel o.d.', '14140 Tillverkning av underkläder, skjortor och blusar', '46410 Partihandel med textilier']",1938-10-10,86.9,1350.0,0.249
Näsbyhallen i Frövi Aktiebolag,Näsbyhallen i Frövi Aktiebolag,556619-6829,Frövi,111543,25.0,[],,https://www.ica.se/erbjudanden/ica-supermarket-nasbyhallen-1004335/,47,"['47112 Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad']",2001-12-10,23.7,100.0,0.136
Örebro byt bil AB,Örebro byt bil AB,559044-0128,Örebro,111494,5.0,[],,https://www.bytbil.com/handlare/orebro-byt-bil-ab-8024,45,['45110 Handel med personbilar och lätta motorfordon'],2015-12-22,9.7,50.0,0.102
Pontus Björks Åkeri Aktiebolag,Pontus Björks Åkeri Aktiebolag,556121-7166,Fjugesta,111348,91.0,[],0585-260 08,https://bjorksakeri.se/,49,"['49410 Vägtransport, godstrafik']",1968-12-12,56.7,150.0,0.238
NEEXT AB,NEEXT AB,559398-7646,Örebro,109602,1.0,[],,https://neext.se/,77,"['77110 Uthyrning och leasing av personbilar och lätta motorfordon', '78200 Personaluthyrning', '49410 Vägtransport, godstrafik', '73111 Reklambyråverksamhet', '42990 Övriga anläggningsarbeten']",2022-09-26,3.0,25.0,0.12
Matdressinen i Hallsberg AB,Matdressinen i Hallsberg AB,556878-4192,Hallsberg,108279,25.0,[],,https://www.ica.se/,47,"['47112 Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad']",2011-12-22,13.7,100.0,0.116
Karlskoga Bygg- och Anläggnings AB,Karlskoga Bygg- och Anläggnings AB,556605-9910,Karlskoga,107456,31.0,[],0586-582 10,https://www.circura.se/circuras-tillvaxtresa-fortsatter-genom-samgaende-med-karlskoga-bygg-och-anlaggnings-ab/,41,"['41200 Byggande av bostadshus och andra byggnader', '23610 Tillverkning av betongvaror  för byggändamål', '43991 Uthyrning av bygg- och anläggningsmaskiner med förare']",2001-01-25,24.6,100.0,0.247
abileer AB,abileer AB,556614-6386,Örebro,107127,20.0,[],,https://www.motormagasinet.se/article/view/1160802/tre_fordonskomponentbolag_slas_samman_och_bildar_abileer_ab,46,['46741 Partihandel med järnhandelsvaror'],2001-08-20,24.1,100.0,0.131
Degerfors Skogstjänst AB,Degerfors Skogstjänst AB,556795-2634,Degerfors,106633,4.0,[],070-345 95 74,https://www.nwt.se/2024/09/09/resultatet-kraftigt-forbattrat-for-degerfors-skogstjanst-ab-be789/,46,['46710 Partihandel med bränslen'],2009-12-01,15.8,100.0,0.204
