sni_code,sni_description
47650,Specialiserad butikshandel med spel och leksaker
47711,"Specialiserad butikshandel med herr-, dam- och barnkläder, blandat"
47712,Specialiserad butikshandel med herrkläder
47713,Specialiserad butikshandel med damkläder
47714,Specialiserad butikshandel med barnkläder
47721,Specialiserad butikshandel med skodon
47722,"Specialiserad butikshandel med väskor, reseffekter och lädervaror"
47730,Apotekshandel
47740,Specialiserad butikshandel med sjukvårdsartiklar
47750,Specialiserad butikshandel med kosmetika och hygienartiklar
47761,"Specialiserad butikshandel med blommor och andra växter, frön och gödselmedel"
47762,Specialiserad butikshandel med små sällskapsdjur
47771,Specialiserad butikshandel med ur
47772,Specialiserad butikshandel med guldsmedsvaror och smycken
47781,Specialiserad butikshandel med glasögon och andra optiska artiklar utom fotoutrustning
47782,Specialiserad butikshandel med fotoutrustning
47789,Övrig specialiserad butikshandel
47791,Specialiserad butikshandel med antikviteter och begagnade böcker
47792,Specialiserad butikshandel med övriga begagnade varor
47793,Auktioner i butik
47810,"Torg- och marknadshandel med livsmedel, drycker och tobak"
47890,Torg- och marknadshandel med övriga varor
47911,Postorderhandel och detaljhandel på Internet med brett sortiment
47912,Postorderhandel och detaljhandel på Internet med beklädnadsvaror
47914,Postorderhandel och detaljhandel på Internet med datorer och annan elektronisk utrustning
47915,Postorderhandel och detaljhandel på Internet med sport- och fritidsutrustning
47916,Postorderhandel och detaljhandel på Internet med bosättningsvaror
47917,Auktioner på Internet
47919,Postorderhandel och detaljhandel på Internet med övriga varor
47991,Provisionsdetaljhandel (ej auktioner)
47992,Ambulerande och tillfällig handel med livsmedel
47999,Övrig detaljhandel ej i butik
49311,Linjebussverksamhet
49320,Taxitrafik
49390,Annan landtransport av passagerare
49410,"Vägtransport, godstrafik"
49420,Flyttjänster
50302,Icke reguljär sjötrafik på inre vattenvägar av passagerare
52100,Magasinering och varulagring
52211,Bärgning för landtransport
52219,Övriga stödtjänster till landtransport
52230,Stödtjänster till lufttransport
52241,Hamngodshantering
52249,Övrig godshantering
52290,Övriga stödtjänster till transport
53201,Annan postbefordran
53202,Bud- och kurirverksamhet
55101,Hotellverksamhet med restaurangrörelse
55102,Drift av konferensanläggningar
55103,Hotellverksamhet utan restaurangrörelse
55201,Vandrarhemsverksamhet
55202,Stugbyverksamhet m.m.
55300,Campingplatsverksamhet
56100,Restaurangverksamhet
56210,Cateringverksamhet vid enskilda evenemang
58110,Bokutgivning
58140,Utgivning av tidskrifter
58190,Annan förlagsverksamhet
58210,Utgivning av dataspel
58290,Utgivning av annan programvara
59110,"Produktion av film, video och TV-program"
59120,"Efterproduktion av film, video och TV-program"
59200,Ljudinspelning och fonogramutgivning
60200,Planering av TV-program och sändningsverksamhet
61100,Trådbunden telekommunikation
61200,Trådlös telekommunikation
61900,Annan telekommunikation
62010,Dataprogrammering
62020,Datakonsultverksamhet
62030,Datordrifttjänster
62090,Andra IT- och datatjänster
63110,"Databehandling, hosting o.d."
63120,Webbportaler
63990,Övriga informationstjänster
64202,Holdingverksamhet i icke-finansiella koncerner
64301,Investeringsfonder
64910,Finansiell leasing
64920,Annan kreditgivning
64992,"Handel med och förvaltning av värdepapper, för egen räkning"
64993,Förvaltning av och handel med värdepapper för en begränsad och sluten krets av ägare
64999,Diverse övrig finansförmedling
66120,Verksamhet utförd av värdepappers- och varumäklare
66190,Andra stödtjänster till finansiella tjänster utom försäkring och pensionsfondsverksamhet
66220,Verksamhet utförd av försäkringsombud och försäkringsmäklare
68100,Handel med egna fastigheter
68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
68209,Övrig förvaltning av egna eller arrenderade fastigheter
68310,Fastighetsförmedling
68320,Fastighetsförvaltning på uppdrag
69101,Advokatbyråverksamhet
69102,Juridiska byråers verksamhet m.m.
69103,Patentbyråverksamhet m.m.
69201,Redovisning och bokföring
69202,Revision
69203,Skatterådgivning
70100,Verksamheter som utövas av huvudkontor
70210,PR och kommunikation
70220,Konsultverksamhet avseende företags organisation
71110,Arkitektverksamhet
71121,Teknisk konsultverksamhet inom bygg- och anläggningsteknik
71122,Teknisk konsultverksamhet inom industriteknik
71123,Teknisk konsultverksamhet inom elteknik
71124,"Teknisk konsultverksamhet inom energi-, miljö- och VVS-teknik"
71129,Övrig teknisk konsultverksamhet
71200,Teknisk provning och analys
72190,Annan naturvetenskaplig och teknisk forskning och utveckling
72200,Samhällsvetenskaplig och humanistisk forskning och utveckling
73111,Reklambyråverksamhet
73112,Direktreklamverksamhet
73119,Övrig reklamverksamhet
73120,Mediebyråverksamhet och annonsförsäljning
73200,Marknads- och opinionsundersökning
74101,Industri- och produktdesignverksamhet
74102,Grafisk designverksamhet
74103,Inredningsarkitektverksamhet
74201,Porträttfotoverksamhet
74203,Press- och övrig fotografverksamhet
74300,Översättning och tolkning
74900,"Övrig verksamhet inom juridik, ekonomi, vetenskap och teknik"
75000,Veterinärverksamhet
77110,Uthyrning och leasing av personbilar och lätta motorfordon
77120,Uthyrning och leasing av lastbilar och andra tunga motorfordon
77210,Uthyrning och leasing av fritids- och sportutrustning
77220,Uthyrning av videokassetter och dvd-skivor
77290,Uthyrning och leasing av andra hushållsartiklar och varor för personligt bruk
77310,Uthyrning och leasing av jordbruksmaskiner och jordbruksredskap
77320,Uthyrning och leasing av bygg- och anläggningsmaskiner
77330,Uthyrning och leasing av kontorsmaskiner och kontorsutrustning (inklusive datorer)
77340,Uthyrning och leasing av fartyg och båtar
77350,Uthyrning och leasing av flygplan
77390,Uthyrning och leasing av övrig utrustning och övriga maskiner och materiella tillgångar
78100,Arbetsförmedling och rekrytering
78200,Personaluthyrning
79110,Resebyråverksamhet
79120,Researrangemang
79900,Turist- och bokningsservice
80100,Säkerhetsverksamhet
80200,Säkerhetssystemtjänster
81100,Fastighetsrelaterade stödtjänster
81210,Lokalvård
81221,Rengöring av byggnader
81222,Skorstensfejarverksamhet
81290,Annan rengöring
81300,Skötsel och underhåll av grönytor
82110,Kombinerade kontorstjänster
82200,Callcenterverksamhet
82300,Arrangemang av kongresser och mässor
82920,Förpackningsverksamhet
82990,Övriga företagstjänster
84131,Administration av infrastrukturprogram
84250,Brand- och räddningsverksamhet
85100,Förskoleutbildning
85201,Grundskoleutbildning och förskoleklass
85311,Studieförberedande gymnasial utbildning
85312,Kommunal vuxenutbildning o.d.
85321,Gymnasial yrkesutbildning
85324,Yrkesförarutbildning m.m.
85410,Eftergymnasial utbildning vid annat än universitet och högskola
85420,Universitets- eller högskoleutbildning
85510,Sport- och fritidsutbildning
85522,"Övrig musik-, dans- och kulturell utbildning"
85530,Trafikskoleverksamhet
85591,Arbetsmarknadsutbildning
85594,Personalutbildning
85599,Diverse övrig utbildning
85600,Stödverksamhet för utbildningsväsendet
86102,Specialiserad sluten somatisk hälso- och sjukvård på sjukhus
86211,Primärvårdsmottagningar med läkare m.m.
86212,"Annan allmän öppen hälso- och sjukvård, ej primärvård"
86221,"Specialistläkarverksamhet inom öppenvård, på sjukhus"
86222,"Specialistläkarverksamhet inom öppenvård, ej på sjukhus"
86230,Tandläkarverksamhet
86904,Tandhygienistverksamhet
86905,Fysioterapeutisk verksamhet  o.d.
86909,"Annan öppen hälso- och sjukvård, utan läkare"
87100,Boende med sjuksköterskevård
87201,Boende med särskild service för personer med utvecklingsstörning eller  psykiska funktionshinder
87203,Boende med särskild service för vuxna med missbruksproblem
87301,Vård och omsorg i särskilda boendeformer för äldre personer
87901,Heldygnsvård med boende för barn och ungdomar med sociala problem
87902,Omsorg och sociala insatser i övriga boendeformer för vuxna
88101,Öppna sociala insatser för äldre personer
88102,Öppna sociala insatser för personer med funktionshinder
88910,Dagbarnvård
88991,Öppna sociala insatser för barn och ungdomar med sociala problem
88992,Öppna sociala insatser för vuxna med missbruksproblem
88993,Övriga öppna sociala insatser för vuxna
90010,Artistisk verksamhet
90020,Stödtjänster till artistisk verksamhet
90030,Litterärt och konstnärligt skapande
91030,Vård av historiska minnesmärken och byggnader och liknande sevärdheter
92000,Spel- och vadhållningsverksamhet
93112,Drift av golfbanor
93113,Drift av motorbanor
93119,"Drift av sporthallar, idrottsplatser och andra sportanläggningar"
93120,Sportklubbars och idrottsföreningars verksamhet
93130,Drift av gymanläggningar
93191,Tävling med hästar
93199,Övrig sportverksamhet
93210,Nöjes- och temaparksverksamhet
93290,Övrig fritids- och nöjesverksamhet
94990,Verksamhet i andra intresseorganisationer
95110,Reparation av datorer och kringutrustning
95120,Reparation av kommunikationsutrustning
95220,Reparation av hushållsapparater samt av utrustning för hem och trädgård
95250,Reparation av ur och guldsmedsvaror
95290,Reparation av andra hushållsartiklar och personliga artiklar
96011,Industri- och institutionstvätt
96021,Hårvård
96022,Skönhetsvård
96030,Begravningsverksamhet
96040,Kroppsvård
96090,Övriga konsumenttjänster
