name,profile_url,emails,org_number,revenue,legal_name,registration_date,company_type,employees,ceo,address,postal_address,city,share_capital,sni_codes,business_purpose,phone,website
N.A. AUTOSERVICE AB,https://www.allabolag.se/foretag/n.a.-autoservice-ab/%C3%B6rebro/-/5590282777,[],559028-2777,18927,N.A. AUTOSERVICE AB,2015-09-29,Aktiebolag,15,,"Mosjö-Råby 427, 705 94 Örebro","c/o Mirsad Islamovic Mosjö-Råby 427, 705 94 Örebro",Örebro,50,"['49410 Vägtransport, godstrafik', '45201 Allmän service och reparation av motorfordon utom motorcyklar', '42110 Anläggning av vägar och motorvägar']","Reperation och underhåll av personbilar, bussar, lastbilar och entreprenadmaskiner Rivning av hus samt mark- och grundarbeten Uthyrning av bygg- och anläggningsmaskiner med förare Bedriva kran o transport verksamhet Köp o försäljning av personbilar, bussar, lastbilar och entreprenadmaskiner Specialiserad bygg- och anläggningsverksamhet Byggande av bostadshus och andra byggnader Anläggningsarbeten Jordbruk och jakt samt service i anslutning härtill Fastighetsverksamhet Vägtransport, godstrafik och flyttjänster Handel samt reparation av motorfordon och motorcyklar",,
Finshyttan Karlskoga Aktiebolag,https://www.allabolag.se/foretag/finshyttan-karlskoga-aktiebolag/karlskoga/-/5560997420,[],556099-7420,18926,Finshyttan Karlskoga Aktiebolag,1965-09-20,Aktiebolag,16,,"Häsängsvägen 22, 691 42 Karlskoga","Box 94, 691 22 Karlskoga",Karlskoga,500,"['25620 Metallegoarbeten', '25610 Beläggning och överdragning av metall']",Bolaget skall driva mekanisk verkstadsindustrirörelse samt idka därmed förenlig verksamhet.,0586-500 20,
Good Service Superglans AB,https://www.allabolag.se/foretag/good-service-superglans-ab/%C3%B6rebro/-/5568800956,[],556880-0956,18901,Good Service Superglans AB,2012-01-09,Aktiebolag,35,,"Restalundsvägen 23, 702 16 Örebro","Restalundsvägen 23, 702 16 Örebro",Örebro,50,['96090 Övriga konsumenttjänster'],Spel och Tobaksaffär Hemtjänst och städbolag,,
JMS Vattenrening Aktiebolag,https://www.allabolag.se/foretag/jms-vattenrening-aktiebolag/%C3%B6rebro/-/5563834505,[],556383-4505,18865,JMS Vattenrening Aktiebolag,1990-01-12,Aktiebolag,3,John Roger Müntzing,"Grusgropsvägen 3, 702 36 Örebro","Grusgropsvägen 3, 702 36 Örebro",Örebro,115,['46699 Partihandel med diverse övriga maskiner och utrustning'],"Bolaget skall bedriva försäljning av vattenreningsutrustning, konsultverksamhet i vattenreningsfrågor samt därmed förenlig verksamhet.",077-112 45 00,
Fair energy group Sweden AB,https://www.allabolag.se/foretag/fair-energy-group-sweden-ab/%C3%B6rebro/-/5593437287,[],559343-7287,18826,Fair energy group Sweden AB,2021-11-01,Aktiebolag,4,Sven Ivan Niklas Magnusson,"Radiatorvägen 7, 702 27 Örebro","Radiatorvägen 7, 702 27 Örebro",Örebro,25,"['43210 Elinstallationer', '46521 Partihandel med elektronikkomponenter']","Bolaget skall bedriva försäljning och installation av batterier, solceller samt därmed förenlig verksamhet",,
Aktiebolaget Polyterm Isolering,https://www.allabolag.se/foretag/aktiebolaget-polyterm-isolering/fellingsbro/-/5560634189,[],556063-4189,18792,Aktiebolaget Polyterm Isolering,1956-08-08,Aktiebolag,10,Hans Axel Jörgen Olsson,"Hagalundsvägen 14, 732 71 Fellingsbro","Hagalundsvägen 14, 732 71 Fellingsbro",Fellingsbro,100,['22230 Byggplastvarutillverkning'],"Bolaget skall utföra isoleringsarbeten, bedriva tillverkning av moduler såsom väggelement, övrig bygg- och byggentreprenad- verksamhet, produktutveckling, försäljning och uthyrning av diverse bygg- och byggentreprenadprodukter'/maskiner, förvalta fast och lös egendom samt därmed förenlig verksamhet.",0581-62 08 30,
MaltMagnus AB,https://www.allabolag.se/foretag/maltmagnus-ab/kumla/-/5568766801,[],556876-6801,18767,MaltMagnus AB,2011-12-15,Aktiebolag,5,Per Magnus Lindroos,"Östra Åby 408 Hagen, 692 93 Kumla","Östra Åby 408 Hagen, 692 93 Kumla",Kumla,50,"['10890 Framställning av andra livsmedel', '46380 Partihandel med andra livsmedel, bl.a. fisk samt skal- och blötdjur']","Aktiebolaget ska bedriva partihandel med malt, humle, jäst och övriga tillbehör till bryggerier samt därmed förenlig verksamhet.",,
QLNR i Örebro AB,https://www.allabolag.se/foretag/qlnr-i-%C3%B6rebro-ab/%C3%B6rebro/-/5593898975,[],559389-8975,18763,QLNR i Örebro AB,2022-07-18,Aktiebolag,26,Suzanne Kristina Karlsson,"Gamla Vägen 14, 702 27 Örebro","Gamla Vägen 14, 702 27 Örebro",Örebro,25,['81210 Lokalvård'],"Bolaget ska bedriva verksamhet inom lokalvårdstjänster såsom hushållsnära tjänster, städning av bostäder till privatpersoner samt till företag därigenom förenlig verksamhet.",,
Service Styrkan i Sverige AB,https://www.allabolag.se/foretag/service-styrkan-i-sverige-ab/%C3%B6rebro/-/5565666947,[],556566-6947,18762,Service Styrkan i Sverige AB,1999-02-23,Aktiebolag,31,Anton Ivan Gråberg,"Stångjärnsgatan 2, 703 83 Örebro","Stångjärnsgatan 2, 703 83 Örebro",Örebro,100,['81210 Lokalvård'],"Bolaget skall bedriva försäljning av städ-, hygienuppdrag och produkter samt därmed förenlig verksamhet. Dessutom skall bolaget driva konsult- och utbildningsverksamhet inom ovanstående verksamhetsområden.",019-26 56 30,
Outdoor Xtrem Örebro AB,https://www.allabolag.se/foretag/outdoor-xtrem-%C3%B6rebro-ab/%C3%B6rebro/-/5568716764,[],556871-6764,18708,Outdoor Xtrem Örebro AB,2011-11-10,Aktiebolag,4,Joakim Jozef Jan Keller,"Storgatan 26 Bv, 703 61 Örebro","Storgatan 26 Bv, 703 61 Örebro",Örebro,50,['47641 Specialiserad butikshandel med sport- och fritidsartiklar utom cyklar och båtar'],"Bolaget ska bedriva detaljhandel inom sportfiske, jakt, vapen, uteliv och övrig sportverksamhet och försäljning via internet i anslutning därtill, samt kursverksamhet och guideverksamhet inom fiske, jakt, uteliv och natur och därmed förenlig verksamhet.",,
Lindesbergs Fastigheter Förvaltning AB,https://www.allabolag.se/foretag/lindesbergs-fastigheter-f%C3%B6rvaltning-ab/lindesberg/-/5591557177,[],559155-7177,18673,Lindesbergs Fastigheter Förvaltning AB,2018-04-12,Aktiebolag,11,,"Stafettgatan 36, 711 34 Lindesberg","Stafettgatan 36, 711 34 Lindesberg",Lindesberg,50,"['68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler']",Bolaget ska bedriva fastighetsförvaltning och tillhandahålla fastighetsrelaterade tjänster samt därmed förenlig verksamhet.,,
BraBom AB,https://www.allabolag.se/foretag/brabom-ab/%C3%B6rebro/-/5593750077,[],559375-0077,18672,BraBom AB,2022-04-07,Aktiebolag,1,Petter Arne Eric Bratt,"Vattenverksgatan 6, 702 27 Örebro","c/o RIMA Seafood AB Vattenverksgatan 6, 702 27 Örebro",Örebro,25,"['46170 Provisionshandel med livsmedel, drycker och tobak', '64993 Förvaltning av och handel med värdepapper för en begränsad och sluten krets av ägare']",Bolaget ska bedriva verksamhet i form av handel med livsmedel mot detaljhandel och restauranger. Äga och förvalta värdepapper och fastigheter samt därmed förenlig verksamhet.,,
Örebro MC AB,https://www.allabolag.se/foretag/%C3%B6rebro-mc-ab/%C3%B6rebro/-/5592835531,[],559283-5531,18642,Örebro MC AB,2020-11-17,Aktiebolag,4,Fredrik Anders Karl Gunnar Persson,"Manillagatan 5, 702 12 Örebro","Manillagatan 5, 702 12 Örebro",Örebro,25,['45400 Handel med och service av motorcyklar inklusive reservdelar och tillbehör'],"Service och försäljning av motorcyklar, mopeder och övriga fordon. Sortiment av utrustning, reservdelar och tillbehör.",,
Pacedomi AB,https://www.allabolag.se/foretag/pacedomi-ab/hallsberg/-/5590989355,[],559098-9355,18641,Pacedomi AB,2017-01-31,Aktiebolag,20,,Hallsberg,"Pacedomi AB Box 127, 694 23 Hallsberg",Hallsberg,50,"['87901 Heldygnsvård med boende för barn och ungdomar med sociala problem', '87902 Omsorg och sociala insatser i övriga boendeformer för vuxna']","Bolaget ska erbjuda skyddat boende till hotade kvinnor och män. Bolaget skall driva hem för särskilt boende och vård, HVB hem. Bolaget ska erbjuda individuellt utformade handlingsplaner för företag som vill skydda sig mot fysiska angrepp, terrorhandlingar och hot. Bolaget ska erbjuda riskanalyser, säkerhets och trygg- hetsvandringar. Utbildningar och föreläsningar inom kris och mediahantering för företag och organisationer. Bolaget ska förvalta fastigheter och värdepapper och därmed förenlig verksamhet.",,
MOZ Sweden AB,https://www.allabolag.se/foretag/moz-sweden-ab/%C3%B6rebro/-/5591890818,[],559189-0818,18612,MOZ Sweden AB,2019-01-02,Aktiebolag,1,,"Norra Bro 332, 705 94 Örebro","Norra Bro 332, 705 94 Örebro",Örebro,50,['46499 Partihandel med övriga hushållsvaror'],"Bolaget ska bedriva design, försäljning samt tillverkning och import av inrednings- och hushållsprodukter för privat och offentlig miljö samt därmed förenlig verksamhet.",,
Billagret i Örebro AB,https://www.allabolag.se/foretag/billagret-i-%C3%B6rebro-ab/%C3%B6rebro/-/5566975958,[],556697-5958,18611,Billagret i Örebro AB,2006-01-28,Aktiebolag,5,,"Singelvägen 8, 702 36 Örebro","Singelvägen 8, 702 36 Örebro",Örebro,100,"['45110 Handel med personbilar och lätta motorfordon', '45201 Allmän service och reparation av motorfordon utom motorcyklar']",Bolaget skall bedriva handel med bilar.,,
Herok Väst AB,https://www.allabolag.se/foretag/herok-v%C3%A4st-ab/%C3%B6rebro/-/5591454656,[],559145-4656,18606,Herok Väst AB,2018-01-17,Aktiebolag,4,,"Myrmalmsgatan 2, 703 83 Örebro","Myrmalmsgatan 2, 703 83 Örebro",Örebro,50,['77320 Uthyrning och leasing av bygg- och anläggningsmaskiner'],Bolaget ska bedriva uthyrning och leasing av bygg och anläggningsmaskiner samt därmed förenlig verksamhet.,,
Joh. Friedrich Behrens Sverige AB,https://www.allabolag.se/foretag/joh.-friedrich-behrens-sverige-ab/karlskoga/-/5590708300,[],559070-8300,18590,Joh. Friedrich Behrens Sverige AB,2016-07-19,Aktiebolag,4,Carl Johan Hane,"Magasinsvägen 5, 691 42 Karlskoga","C/o Exacta Magasinsvägen 5, 691 42 Karlskoga",Karlskoga,50,['46741 Partihandel med järnhandelsvaror'],Bolaget skall bedriva inköp och försäljning av fästmaterial i Sverige och utlandet samt därmed förenlig verksamhet.,,
NeH Direkt AB,https://www.allabolag.se/foretag/neh-direkt-ab/%C3%B6rebro/-/5565372926,[],556537-2926,18589,NeH Direkt AB,1996-12-23,Aktiebolag,13,Frank Erik Holm,"Södra Vägen 8, 702 27 Örebro","Radiatorvägen 2, 702 27 Örebro",Örebro,100,"['47641 Specialiserad butikshandel med sport- och fritidsartiklar utom cyklar och båtar', '13990 Övrig textilietillverkning']",Bolaget skall bedriva tillverkning och handel med brodyrer samt försäljning av fritidskläder och sportartiklar samt idka därmed förenlig verksamhet.,019-14 60 30,
Vasastans Elinstallationer AB,https://www.allabolag.se/foretag/vasastans-elinstallationer-ab/%C3%B6rebro/-/5591025555,[],559102-5555,18587,Vasastans Elinstallationer AB,2017-03-01,Aktiebolag,13,,"Beväringsgatan 4 c, 703 65 Örebro","EMIL BERGSTEN Beväringsgatan 4 c, 703 65 Örebro",Örebro,50,['43210 Elinstallationer'],Elinstallationer och service inom el tele data och fiber,,
Mandel Cykel & Trädgård AB,https://www.allabolag.se/foretag/mandel-cykel-tr%C3%A4dg%C3%A5rd-ab/karlskoga/-/5567917553,[],556791-7553,18543,Mandel Cykel & Trädgård AB,2009-10-28,Aktiebolag,8,,"Skogsbovägen 4 a, 691 47 Karlskoga","Skogsbovägen 4 a, 691 47 Karlskoga",Karlskoga,100,"['47642 Specialiserad butikshandel med cyklar', '95290 Reparation av andra hushållsartiklar och personliga artiklar']","Bolaget ska bedriva försäljning och reparation av cyklar, trädgårdsmaskiner och tillbehör till dessa jämte därmed förenlig verksamhet.",,
KAVS-Tak och Tätskikt AB,https://www.allabolag.se/foretag/kavs-tak-och-t%C3%A4tskikt-ab/%C3%B6rebro/-/5593006058,[],559300-6058,18536,KAVS-Tak och Tätskikt AB,2021-02-08,Aktiebolag,6,Åke Sebastian Sandin,"Nygatan 55, 702 11 Örebro","Nygatan 55, 702 11 Örebro",Örebro,25,['43912 Takarbeten av andra material än plåt'],Företaget ska utföra tak och tätskikt arbeten.,,
Örebro Fogfria Golv AB,https://www.allabolag.se/foretag/%C3%B6rebro-fogfria-golv-ab/%C3%B6rebro/-/5565524344,[],556552-4344,18530,Örebro Fogfria Golv AB,1998-02-06,Aktiebolag,8,Petter Samuel Freed,"Skomaskinsgatan 6, 702 27 Örebro","Skomaskinsgatan 6, 702 27 Örebro",Örebro,500,['43330 Golv- och väggbeläggningsarbeten'],Bolaget skall utföra golventreprenadarbeten samt idka därmed förenlig verksamhet.,,
Albins Maskinservice AB,https://www.allabolag.se/foretag/albins-maskinservice-ab/lax%C3%A5/-/5565024527,[],556502-4527,18513,Albins Maskinservice AB,1995-01-03,Aktiebolag,7,,"Stavåna, 695 91 Laxå","Stavåna, 695 91 Laxå",Laxå,100,"['43991 Uthyrning av bygg- och anläggningsmaskiner med förare', '28920 Tillverkning av gruv-, bergbrytnings- och byggmaskiner']","Bolaget skall bedriva reparationer, service, uthyrning och handel med entreprenad- och byggnadsmaskiner, mark och entreprenadarbeten, personaluthyrning samt äga, förvalta och handel med aktier och andra värdepapper och därmed förenlig verksamhet.",0584-41 10 70,
MBV Örebro AB,https://www.allabolag.se/foretag/mbv-%C3%B6rebro-ab/%C3%B6rebro/-/5568577919,[],556857-7919,18408,MBV Örebro AB,2011-06-30,Aktiebolag,8,,"Filarevägen 9, 703 75 Örebro","Filarevägen 9, 703 75 Örebro",Örebro,100,"['45201 Allmän service och reparation av motorfordon utom motorcyklar', '45110 Handel med personbilar och lätta motorfordon']","Bolaget skall bedriva försäljning, reparatioaner, import, export och uthyrning av bilar samt därmed förenlig verksamhet.",,
Helix Lokaler AB,https://www.allabolag.se/foretag/helix-lokaler-ab/%C3%B6rebro/-/5590389564,[],559038-9564,18405,Helix Lokaler AB,2015-12-04,Aktiebolag,0,Rikard Mikael Eliasson,"Nastagatan 22, 702 27 Örebro","Nastagatan 22, 702 27 Örebro",Örebro,1 000,"['68202 Uthyrning och förvaltning av egna eller arrenderade industrilokaler', '68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler']",Bolaget skall äga och förvalta fast egendom samt bedriva därmed förenlig verksamhet.,,
Norgips Svenska AB,https://www.allabolag.se/foretag/norgips-svenska-ab/%C3%B6rebro/-/5566476684,"['kundsupport@norgips.com', 'kundsupport@norgips.com']",556647-6684,18403,Norgips Svenska AB,2003-07-29,Aktiebolag,8,Christian Skarprud Stålem,"Stubbengatan 2, 70344 ÖREBRO","Stubbengatan 2, 703 44 Örebro",Örebro,4 000,['46731 Partihandel med virke och andra byggmaterial'],Bolaget har till föremål för sin verksamhet att bedriva industriell verksamhet avseende produktion och försäljning av gipsplattor och förvalta fast och lös egendom samt därmed förenlig verksamhet.,072-526 16 10,http://www.norgips.se
LindePac AB,https://www.allabolag.se/foretag/lindepac-ab/lindesberg/-/5566878665,[],556687-8665,18380,LindePac AB,2005-10-14,Aktiebolag,14,,"Stadsskogsvägen 1-5, 711 34 Lindesberg","Stadsskogsvägen 1-5, 711 34 Lindesberg",Lindesberg,100,['22220 Plastförpackningstillverkning'],"Bolagets verksamhet ska vara att bedriva produktion, marknadsföring och försäljning av produkter och tjänster inom områden som har behov av de egenskaper som företagets material och kunnande kan erbjuda. Dessa områden är transporter, förpackningar, formgjutet gods i cellplast anpassat till kundens behov och andra områden där företagets produkter är användbara.",073-030 37 62,
Söderberg Oxhagen AB,https://www.allabolag.se/foretag/s%C3%B6derberg-oxhagen-ab/%C3%B6rebro/-/5568005457,[],556800-5457,18366,Söderberg Oxhagen AB,2010-02-09,Aktiebolag,0,Oscar Johan Ivar Söderberg,"Signalgatan 3, 702 44 Örebro","Signalgatan 3, 702 44 Örebro",Örebro,100,"['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder', '52219 Övriga stödtjänster till landtransport']","Bolaget skall äga, förvalta och sälja fastigheter, samt därmed förenlig verksamhet.",,
Rockesholm Behandling och Utbildning Aktiebolag,https://www.allabolag.se/foretag/rockesholm-behandling-och-utbildning-aktiebolag/grythyttan/-/5562978287,[],556297-8287,18346,Rockesholm Behandling och Utbildning Aktiebolag,1987-05-06,Aktiebolag,18,Inger Nilla Marie Helgesson,"Rockesholm 8, 712 95 Grythyttan","Rockesholm 8, 712 95 Grythyttan",Grythyttan,200,['87203 Boende med särskild service för vuxna med missbruksproblem'],"Bolaget skall bedriva behandling av personer med kemiskt beroende, diagnostik, utbildning och rådgivning i frågor rörande missbruk och beroende av kemiska preparat samt därmed förenlig verksamhet.",070-670 20 62,
Esswege Fastigheter AB,https://www.allabolag.se/foretag/esswege-fastigheter-ab/%C3%B6rebro/-/5567378244,[],556737-8244,18339,Esswege Fastigheter AB,2007-09-13,Aktiebolag,12,,"Nygatan 40, 702 11 Örebro","c/o Kornboden Fastigheter i Örebro AB Nygatan 40, 702 11 Örebro",Örebro,102,"['68320 Fastighetsförvaltning på uppdrag', '68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler']","Bolaget skall äga och förvalta fastigheter, idka parkerings- verksamhet samt därmed förenlig verksamhet.",019-670 85 00,
4225394 Centralkiosken AB,https://www.allabolag.se/foretag/4225394-centralkiosken-ab/%C3%B6rebro/-/5569336026,[],556933-6026,18300,4225394 Centralkiosken AB,2013-06-03,Aktiebolag,8,,"Östra Bangatan 1, 703 39 Örebro","CENTRALSTATION Östra Bangatan 1, 703 39 Örebro",Örebro,100,"['47299 Övrig specialiserad butikshandel med livsmedel', '47260 Specialiserad butikshandel med tobaksvaror', '47621 Specialiserad butikshandel med tidningar', '47242 Specialiserad butikshandel med konfektyrer']",Bolaget ska driva detaljhandel främst i form av kiosk och servicebutik ävensom idka därmed förenlig verksamhet.,,
Castellum Fyrislund AB,https://www.allabolag.se/foretag/castellum-fyrislund-ab/%C3%B6rebro/-/5568867831,[],556886-7831,18284,Castellum Fyrislund AB,2012-03-06,Aktiebolag,0,,"Rörvägen 1, 702 27 Örebro","c/o Castellum Mälardalen AB Box 1187, 721 29 Västerås",Västerås,50,['68202 Uthyrning och förvaltning av egna eller arrenderade industrilokaler'],"Bolaget skall ha till föremål för sin verksamhet att - direkt eller indirekt genom hel- eller delägda bolag - förvärva, förvalta, utveckla och försälja fast egendom samt att bedriva annan därmed förenlig verksamhet.",,
PO:s Akustikmontage Aktiebolag,https://www.allabolag.se/foretag/po%3As-akustikmontage-aktiebolag/hallsberg/-/5565315859,"['ammi.persson@hallsberg.nu', 'ammi.persson@hallsberg.nu']",556531-5859,18274,PO:s Akustikmontage Aktiebolag,1996-05-14,Aktiebolag,5,,"Hässlebergsv. 35, 694 34 Hallsberg","Hässlebergsvägen 35, 694 34 Hallsberg",Hallsberg,100,['43320 Byggnadssnickeriarbeten'],Bolagets verksamhet är försäljning och montering av innertak och därmed förenlig verksamhet.,073-682 86 95,
Knutssons Transport Örebro AB,https://www.allabolag.se/foretag/knutssons-transport-%C3%B6rebro-ab/ervalla/-/5566538665,[],556653-8665,18253,Knutssons Transport Örebro AB,2004-01-19,Aktiebolag,10,,"Tingstorp 740, 718 94 Ervalla","Tingstorp 740, 718 94 Ervalla",Ervalla,100,"['49410 Vägtransport, godstrafik']",Föremålet för bolagets verksamhet är godstransporter samt handel med värdepapper och därmed förenlig verksamhet.,,
Måleritjänst Ulf Björk AB,https://www.allabolag.se/foretag/m%C3%A5leritj%C3%A4nst-ulf-bj%C3%B6rk-ab/karlskoga/-/5562063973,[],556206-3973,18234,Måleritjänst Ulf Björk AB,1980-01-01,Aktiebolag,15,,"Hangarvägen 16 b, 691 35 Karlskoga","Hangarvägen 16 b, 691 35 Karlskoga",Karlskoga,100,['43341 Måleriarbeten'],Bolaget skall bedriva verksamhet avseende måleri och redovisning ävensom idka därmed förenlig verksamhet.,0586-315 35,
P.O.X Group AB,https://www.allabolag.se/foretag/p.o.x-group-ab/%C3%B6rebro/-/5569112583,[],556911-2583,18183,P.O.X Group AB,2012-11-21,Aktiebolag,9,Mats Ingemar Carlsson,"Johansdalsvägen 2 d, 702 31 Örebro","Johansdalsvägen 2 d, 702 31 Örebro",Örebro,50,"['43222 Ventilationsarbeten', '43320 Byggnadssnickeriarbeten', '43120 Mark- och grundarbeten']","Bolaget ska bedriva konsult- och entreprenadverksamhet inom ventilation, luftbehandling, energi- och miljöutredningar. Byggnadsarbete. Markentreprenadsarbete. Äga och förvalta fast och lös egendom, idka handel med värdepapper, även bedriva annan därmed förenlig verksamhet.",073-622 82 83,
Nordic Rental Machines AB,https://www.allabolag.se/foretag/nordic-rental-machines-ab/%C3%B6rebro/-/5591978043,[],559197-8043,18167,Nordic Rental Machines AB,2019-03-07,Aktiebolag,1,,"Åbyvägen 1 g, 702 27 Örebro","Åbyvägen 1 g, 702 27 Örebro",Örebro,50,['77320 Uthyrning och leasing av bygg- och anläggningsmaskiner'],"Bolaget skall bedriva uthyrning av bygg- och anläggningsmaskiner samt försäljning av saluvaror, maskiner, tillbehör och utrustning kopplade till bygg- och anläggningssektorn. Försäljning och uthyrning av fordon och annan därmed förenlig verksamhet.",,
Mälardalens Portar AB,https://www.allabolag.se/foretag/m%C3%A4lardalens-portar-ab/%C3%B6rebro/-/5566366612,[],556636-6612,18167,Mälardalens Portar AB,2003-02-20,Aktiebolag,7,,"Radiatorvägen 1 Bv, 702 27 Örebro","Radiatorvägen 1 Bv, 702 27 Örebro",Örebro,100,"['43290 Andra bygginstallationer', '46731 Partihandel med virke och andra byggmaterial']","Bolaget ska utföra försäljning, installation och service och besiktning av garageportar, utföra snickeriarbeten inom byggnadsbranschen, äga och förvalta värdepapper samt idka därmed förenlig verksamhet.",,
Frökontrollen Mellansverige Aktiebolag,https://www.allabolag.se/foretag/fr%C3%B6kontrollen-mellansverige-aktiebolag/%C3%B6rebro/-/5564883048,[],556488-3048,18146,Frökontrollen Mellansverige Aktiebolag,1994-05-27,Aktiebolag,15,Jesper William Broberg,"Gamla Vägen 5 g, 702 27 Örebro","Box 22014, 702 02 Örebro",Örebro,100,['01610 Service till växtodling'],"Bolaget skall bedriva frökontrollverksamhet och analysering av växtodlingsprodukter, vatten, jord och avfallsprodukter samt förvaltning av värdepapper ävensom idka därmed förenlig verksamhet.",019-603 27 30,
