org_number,legal_name,sni_code,sni_description
559069-4500,Lekebergs Mekaniska AB,45201,Allmän service och reparation av motorfordon utom motorcyklar
559069-4500,Lekebergs Mekaniska AB,77320,Uthyrning och leasing av bygg- och anläggningsmaskiner
559013-4580,Motus Logistikutveckling AB,52290,Övriga stödtjänster till transport
559448-7695,Erik Gustafssons Isolering & Bygg AB,43320,Byggnadssnickeriarbeten
559304-4976,Bobäckens Åkeri AB,49410,"Vägtransport, godstrafik"
559151-9672,Idealmaskin i Sverige AB,46610,Partihandel med jordbruksmaskiner och -utrustning
559151-9672,Idealmaskin i Sverige AB,46230,Partihandel med levande djur
556550-9527,Bjuhrs Bil AB,46771,Partihandel med uttjänta fordon
556550-9527,Bjuhrs Bil AB,46772,Partihandel med metallavfall och metallskrot
556550-9527,Bjuhrs Bil AB,46773,Partihandel med avfall och skrot av icke-metall
556550-9527,Bjuhrs Bil AB,45110,Handel med personbilar och lätta motorfordon
556550-9527,Bjuhrs Bil AB,45201,Allmän service och reparation av motorfordon utom motorcyklar
559458-1620,Y-E Förvaltning AB,01110,"Odling av spannmål (utom ris), baljväxter och oljeväxter"
559458-1620,Y-E Förvaltning AB,69201,Redovisning och bokföring
559084-7215,Nora Elvstorp 2 AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556917-2207,Kalle Andersson i Tycke AB,02200,Drivning
556917-2207,Kalle Andersson i Tycke AB,49410,"Vägtransport, godstrafik"
556712-1131,Hans Rosenfeldt AB,90030,Litterärt och konstnärligt skapande
556712-1131,Hans Rosenfeldt AB,90010,Artistisk verksamhet
556712-1131,Hans Rosenfeldt AB,90020,Stödtjänster till artistisk verksamhet
556312-0954,Rydma AB,78200,Personaluthyrning
556312-0954,Rydma AB,45110,Handel med personbilar och lätta motorfordon
556312-0954,Rydma AB,46521,Partihandel med elektronikkomponenter
556624-7226,Great Consulting Nordic AB,70220,Konsultverksamhet avseende företags organisation
559160-5042,AK & DK Fastighet AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
559146-4028,Klotens F & C AB,55202,Stugbyverksamhet m.m.
559319-6255,We dig it Sweden AB,73111,Reklambyråverksamhet
559319-6255,We dig it Sweden AB,70220,Konsultverksamhet avseende företags organisation
556765-5260,Vacitup AB,28290,Övrig tillverkning av maskiner för allmänt ändamål
556765-5260,Vacitup AB,71121,Teknisk konsultverksamhet inom bygg- och anläggningsteknik
559152-0753,Account Ekonomipartner i Örebro AB,69201,Redovisning och bokföring
559011-3592,RE Media Group AB,73111,Reklambyråverksamhet
559011-3592,RE Media Group AB,59120,"Efterproduktion av film, video och TV-program"
559011-3592,RE Media Group AB,62010,Dataprogrammering
559011-3592,RE Media Group AB,93290,Övrig fritids- och nöjesverksamhet
559315-6465,Gebauer Entreprenad AB,42110,Anläggning av vägar och motorvägar
559315-6465,Gebauer Entreprenad AB,43991,Uthyrning av bygg- och anläggningsmaskiner med förare
559315-6465,Gebauer Entreprenad AB,49410,"Vägtransport, godstrafik"
556086-3663,Lindova Aktiebolag,28240,Tillverkning av motordrivna handverktyg
556875-9608,Arti Enver Bygg AB,43999,Diverse övrig specialiserad bygg- och anläggningsverksamhet
556875-9608,Arti Enver Bygg AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
559327-7816,Tandhuset Örebro AB,86230,Tandläkarverksamhet
556643-4915,Aktivera Ösjönäs AB,70220,Konsultverksamhet avseende företags organisation
559150-6059,Stjärnhusen AB,41200,Byggande av bostadshus och andra byggnader
559150-6059,Stjärnhusen AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
559150-6059,Stjärnhusen AB,68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
556721-1825,Linford Communication AB,77330,Uthyrning och leasing av kontorsmaskiner och kontorsutrustning (inklusive datorer)
559067-8222,Sitto AB,56100,Restaurangverksamhet
559178-4086,JANDAB Isolering AB,43290,Andra bygginstallationer
556805-9520,Asteravallis AB,47420,Specialiserad butikshandel med telekommunikationsutrustning
559199-2697,Örebro fasad och byggkonsult AB,43310,"Puts-, fasad- och stuckatörsarbeten"
559190-6788,Bröderna Sanders Bygg AB,41200,Byggande av bostadshus och andra byggnader
559329-8424,Contagri AB,49410,"Vägtransport, godstrafik"
556682-9734,EXSE AB,71124,"Teknisk konsultverksamhet inom energi-, miljö- och VVS-teknik"
556682-9734,EXSE AB,25620,Metallegoarbeten
556682-9734,EXSE AB,85510,Sport- och fritidsutbildning
559340-6274,CARIGON Skaraborg AB,41200,Byggande av bostadshus och andra byggnader
556598-8119,Sötvaruhuset i Sverige AB,47241,Specialiserad butikshandel med bröd och konditorivaror
559168-6810,Tango AML AB,62010,Dataprogrammering
559145-8483,SAWAN Restaurang i Hällefors AB,56100,Restaurangverksamhet
559044-1399,Nelad AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
559044-1399,Nelad AB,68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
556190-0357,Gustafssons Parkett & Golv Aktiebolag,43330,Golv- och väggbeläggningsarbeten
559084-5599,Örenova AB,41200,Byggande av bostadshus och andra byggnader
556949-1003,Historiska Butiken i Wadköping AB,47650,Specialiserad butikshandel med spel och leksaker
559311-8077,Karlskoga Camping & Event i Lunnedet AB,56100,Restaurangverksamhet
559311-8077,Karlskoga Camping & Event i Lunnedet AB,55300,Campingplatsverksamhet
559311-8077,Karlskoga Camping & Event i Lunnedet AB,47299,Övrig specialiserad butikshandel med livsmedel
559407-4089,CardSurfer AB,47650,Specialiserad butikshandel med spel och leksaker
559407-4089,CardSurfer AB,64993,Förvaltning av och handel med värdepapper för en begränsad och sluten krets av ägare
556646-7154,Santé Sweden AB,96040,Kroppsvård
556734-0822,Marksjön AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
559054-3624,RNM Mekaniska AB,25620,Metallegoarbeten
559054-3624,RNM Mekaniska AB,28410,Tillverkning av verktygsmaskiner för metallbearbetning
556746-6197,Wadköpings Måleri AB,43341,Måleriarbeten
556992-6263,Roxen Projektledning AB,41200,Byggande av bostadshus och andra byggnader
556992-6263,Roxen Projektledning AB,71121,Teknisk konsultverksamhet inom bygg- och anläggningsteknik
556755-6161,Teckenbro AB,59110,"Produktion av film, video och TV-program"
556755-6161,Teckenbro AB,85600,Stödverksamhet för utbildningsväsendet
556755-6161,Teckenbro AB,74300,Översättning och tolkning
556936-4523,Loviseholm Stables AB,01430,Uppfödning av hästar och andra hästdjur
556936-4523,Loviseholm Stables AB,93191,Tävling med hästar
556936-4523,Loviseholm Stables AB,01620,Service till husdjursskötsel
556170-5954,Mullhyttans Plåt Aktiebolag,43911,Takarbeten av plåt
556312-3222,Scandab Plåtproduktion Aktiebolag,25110,Tillverkning av metallstommar och delar därav
559116-2747,Renewmic AB,71123,Teknisk konsultverksamhet inom elteknik
556490-9363,Bennys Rör- och Industrisvets Aktiebolag,25500,"Smidning, pressning, prägling och valsning av metall; pulvermetallurgi"
556582-3902,Lindhska Bokhandeln AB,47610,Specialiserad butikshandel med böcker
556582-3902,Lindhska Bokhandeln AB,47622,Specialiserad butikshandel med kontorsförbrukningsvaror
556482-7672,Eknors Entreprenad AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556482-7672,Eknors Entreprenad AB,41200,Byggande av bostadshus och andra byggnader
556482-7672,Eknors Entreprenad AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556417-2145,Wells Productions Aktiebolag,59200,Ljudinspelning och fonogramutgivning
559466-1851,Konstruktionsbolaget Örebro AB,71121,Teknisk konsultverksamhet inom bygg- och anläggningsteknik
556026-8913,F G Larsson Tryckeri Aktiebolag,17290,Tillverkning av andra pappers- och pappvaror
556026-8913,F G Larsson Tryckeri Aktiebolag,18122,Tryckning av böcker och övriga trycksaker
556326-4752,Siggeboda Consulting Aktiebolag,70220,Konsultverksamhet avseende företags organisation
556326-4752,Siggeboda Consulting Aktiebolag,81300,Skötsel och underhåll av grönytor
559264-3141,Björkgrens Entreprenad AB,43120,Mark- och grundarbeten
559264-3141,Björkgrens Entreprenad AB,49410,"Vägtransport, godstrafik"
559264-3141,Björkgrens Entreprenad AB,69201,Redovisning och bokföring
559264-3141,Björkgrens Entreprenad AB,01500,Blandat jordbruk
556425-1501,Örebro Kårhusrestaurang Aktiebolag,56100,Restaurangverksamhet
559246-1247,Noords Servicebutik AB,47621,Specialiserad butikshandel med tidningar
556351-6912,Hammars Säteri Aktiebolag,01500,Blandat jordbruk
556937-0025,S.J's Skog & Schakt AB,43120,Mark- och grundarbeten
556814-1401,BC HOTELS TRAVEL SWEDEN AB,79110,Resebyråverksamhet
556814-1401,BC HOTELS TRAVEL SWEDEN AB,82300,Arrangemang av kongresser och mässor
556814-1401,BC HOTELS TRAVEL SWEDEN AB,78200,Personaluthyrning
556814-1401,BC HOTELS TRAVEL SWEDEN AB,93290,Övrig fritids- och nöjesverksamhet
556814-1401,BC HOTELS TRAVEL SWEDEN AB,47712,Specialiserad butikshandel med herrkläder
556112-1780,Arthurssons Bil Aktiebolag,45110,Handel med personbilar och lätta motorfordon
556112-1780,Arthurssons Bil Aktiebolag,45201,Allmän service och reparation av motorfordon utom motorcyklar
559054-1834,Hermansson EL & VVS i Karlskoga AB,43221,Värme- och sanitetsarbeten
559207-1475,Hasopor Sweden AB,23190,Tillverkning av andra glasvaror inklusive tekniska glasvaror
556575-1509,Front Line Reklam AB,46499,Partihandel med övriga hushållsvaror
556732-4966,Kolgrillsbaren Örebro AB,56100,Restaurangverksamhet
559394-6881,Structor Vibrations & Omgivningskontroll AB,71200,Teknisk provning och analys
559401-6155,Kumla Livs AB,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
559051-3817,Örebro tak och plåt AB,43911,Takarbeten av plåt
559075-6531,BoBo:s Däck AB,45204,Däckservice
559416-5549,GolvGruppen I Örebro AB,43330,Golv- och väggbeläggningsarbeten
556321-1084,Ekonomigolv i Mellansverige AB,43330,Golv- och väggbeläggningsarbeten
556700-7157,Bäckaskogs Logistics i Sweden AB,49410,"Vägtransport, godstrafik"
559257-8693,Örebro Skylt & Dekor AB,74102,Grafisk designverksamhet
559201-0887,JME Bodega i Kopparberg AB,56100,Restaurangverksamhet
559003-7809,Finnerödjas Virkesfrakt AB,49410,"Vägtransport, godstrafik"
559020-1561,Temerze AB,56100,Restaurangverksamhet
556209-6718,Fastighetsbyrån Karlskoga/Degerfors AB,68310,Fastighetsförmedling
559363-8132,Golv & Kakel i Askersund AB,43330,Golv- och väggbeläggningsarbeten
559348-5526,Lillemors Värld Örebro AB,75000,Veterinärverksamhet
559042-3462,Gullella Pizzeria Aktiebolag,56100,Restaurangverksamhet
559447-9395,Tasty Bros AB,56100,Restaurangverksamhet
556923-6622,Linde SB Invest AB,43999,Diverse övrig specialiserad bygg- och anläggningsverksamhet
556923-6622,Linde SB Invest AB,46731,Partihandel med virke och andra byggmaterial
559256-4768,Infraffina företagspartner AB,43120,Mark- och grundarbeten
556501-5863,Lamplagret i Marieberg Aktiebolag,47594,Specialiserad butikshandel med belysningsartiklar
556701-6018,Enar Rosander Fastigheter AB,68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
559360-7053,MW Byggteknik Örebro AB,43320,Byggnadssnickeriarbeten
559360-7053,MW Byggteknik Örebro AB,71121,Teknisk konsultverksamhet inom bygg- och anläggningsteknik
556199-1000,Fam Strandberg i Örebro Aktiebolag,47711,"Specialiserad butikshandel med herr-, dam- och barnkläder, blandat"
556343-2342,CÖ Redovisning AB,69201,Redovisning och bokföring
556754-6410,Nora Glassfabrik AB,10520,Glasstillverkning
559356-1037,Consoil Rörinspektion AB,71124,"Teknisk konsultverksamhet inom energi-, miljö- och VVS-teknik"
556668-9260,Alltechnikservice i Laxå AB,25620,Metallegoarbeten
559089-6907,Nettobilar Bista AB,45201,Allmän service och reparation av motorfordon utom motorcyklar
556719-0359,Idé & Hobby i Marieberg AB,47789,Övrig specialiserad butikshandel
556697-7756,Tony Careliusséns Skogsfrakt Aktiebolag,49410,"Vägtransport, godstrafik"
559300-7718,Bergström Bygg & Maskin AB,41200,Byggande av bostadshus och andra byggnader
559300-7718,Bergström Bygg & Maskin AB,43120,Mark- och grundarbeten
559384-1538,Bergströms Mekaniska Frövi AB,25620,Metallegoarbeten
559344-1768,Lindesbergs Fastigheter Kristinaskolan AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556847-5098,Avancerad Trädfällning i Nora AB,81300,Skötsel och underhåll av grönytor
556697-4365,Northbaze Group AB,74101,Industri- och produktdesignverksamhet
556502-8502,Karlslunds Herrgård AB,56100,Restaurangverksamhet
556502-8502,Karlslunds Herrgård AB,82300,Arrangemang av kongresser och mässor
559464-7710,Stormhattarna i Örebro AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
559046-2353,Frösvidalsgräs AB,01290,Odling av andra fleråriga växter
559064-1733,PA Wermland AB,45201,Allmän service och reparation av motorfordon utom motorcyklar
559064-1733,PA Wermland AB,45202,"Plåt-, lack- och glasreparationer på motorfordon utom motorcyklar"
559064-1733,PA Wermland AB,85510,Sport- och fritidsutbildning
559166-0138,GPS Galler Plåt och Smide AB,25620,Metallegoarbeten
559166-0138,GPS Galler Plåt och Smide AB,25610,Beläggning och överdragning av metall
559270-6393,ITS i Hallsberg AB,52100,Magasinering och varulagring
556919-4268,HRS FOOD CONTRACT AB,78200,Personaluthyrning
556919-4268,HRS FOOD CONTRACT AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
559158-0948,Innovation Highway Consulting Group AB,62020,Datakonsultverksamhet
559214-8349,Equisport Media Services AB,60200,Planering av TV-program och sändningsverksamhet
556469-6374,Rinman Education AB,85594,Personalutbildning
559377-4598,E.O Bygg & Markentreprenad AB,41200,Byggande av bostadshus och andra byggnader
559377-4598,E.O Bygg & Markentreprenad AB,43120,Mark- och grundarbeten
556667-4775,Fastighets AB Clavus,68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
556760-8160,Saigon Express i Örebro AB,56100,Restaurangverksamhet
556818-8550,Askersunds stängsel och entreprenad AB,43120,Mark- och grundarbeten
556818-8550,Askersunds stängsel och entreprenad AB,43290,Andra bygginstallationer
556818-8550,Askersunds stängsel och entreprenad AB,64992,"Handel med och förvaltning av värdepapper, för egen räkning"
556955-2879,Micke Alkmans Gödseltransport AB,49410,"Vägtransport, godstrafik"
556955-2879,Micke Alkmans Gödseltransport AB,43120,Mark- och grundarbeten
556822-9677,Sigo Fastigheter & Miljö AB,43120,Mark- och grundarbeten
556822-9677,Sigo Fastigheter & Miljö AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556261-5756,Karlskoga Byggnadsställningar Aktiebolag,43999,Diverse övrig specialiserad bygg- och anläggningsverksamhet
556261-5756,Karlskoga Byggnadsställningar Aktiebolag,41200,Byggande av bostadshus och andra byggnader
556668-3610,Sparrehus AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
559237-6411,Björkmans Svets & Montage AB,43999,Diverse övrig specialiserad bygg- och anläggningsverksamhet
559214-8331,SK Sprinklerkonsulten AB,71124,"Teknisk konsultverksamhet inom energi-, miljö- och VVS-teknik"
556237-0980,Svenska Resebolaget i Karlskoga AB,79110,Resebyråverksamhet
556890-2000,Rockhammar Skroten AB,46772,Partihandel med metallavfall och metallskrot
556890-2000,Rockhammar Skroten AB,46900,Övrig partihandel
556890-2000,Rockhammar Skroten AB,64993,Förvaltning av och handel med värdepapper för en begränsad och sluten krets av ägare
556890-2000,Rockhammar Skroten AB,43120,Mark- och grundarbeten
556890-2000,Rockhammar Skroten AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
559452-2087,Uniqall AB,82200,Callcenterverksamhet
556012-6806,Svenska Durox Aktiebolag,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556736-9508,Gelleråsen Fastigheter AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556736-9508,Gelleråsen Fastigheter AB,02101,Skogsförvaltning
556736-9508,Gelleråsen Fastigheter AB,42220,Anläggningsarbeten för el och telekommunikation
556410-3967,Oppboga Trä Aktiebolag,16240,Träförpackningstillverkning
556140-6165,Gålsjö Grus Aktiebolag,46731,Partihandel med virke och andra byggmaterial
556916-6936,Peter Gustavsson i Örebro AB,45110,Handel med personbilar och lätta motorfordon
556409-8092,PM hem Aktiebolag,46732,Partihandel med sanitetsgods
556409-8092,PM hem Aktiebolag,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
559104-2071,VVS-Isolering I Närke AB,43290,Andra bygginstallationer
559353-4901,Ängarnas Lantbruk och Entreprenad AB,01110,"Odling av spannmål (utom ris), baljväxter och oljeväxter"
559353-4901,Ängarnas Lantbruk och Entreprenad AB,43120,Mark- och grundarbeten
559279-7632,Eriksson och Anderbert i Lindesberg AB,46420,Partihandel med kläder och skodon
559279-7632,Eriksson och Anderbert i Lindesberg AB,43330,Golv- och väggbeläggningsarbeten
559279-7632,Eriksson och Anderbert i Lindesberg AB,46440,"Partihandel med glas och porslin, rengöringsmedel"
559303-0926,Kex Agency AB,73111,Reklambyråverksamhet
556699-4975,Cards And More Sverige AB,46699,Partihandel med diverse övriga maskiner och utrustning
559095-6321,Örebro Bilringar AB,45204,Däckservice
559006-1825,OMIIOS AB,43210,Elinstallationer
559006-1825,OMIIOS AB,71122,Teknisk konsultverksamhet inom industriteknik
556599-5189,Bröderna Kourieh Aktiebolag,56100,Restaurangverksamhet
556766-2944,Karlskoga anläggningsteknik AB,43320,Byggnadssnickeriarbeten
556766-2944,Karlskoga anläggningsteknik AB,77320,Uthyrning och leasing av bygg- och anläggningsmaskiner
559046-3146,Mälardalen VVS AB,71121,Teknisk konsultverksamhet inom bygg- och anläggningsteknik
559046-3146,Mälardalen VVS AB,43221,Värme- och sanitetsarbeten
556641-1525,Nordins Last & Schakt AB,42110,Anläggning av vägar och motorvägar
556641-1525,Nordins Last & Schakt AB,43120,Mark- och grundarbeten
556637-1588,Swede Glass United AB,23110,Framställning av planglas
559182-6796,Acacia tybbletorg AB,47761,"Specialiserad butikshandel med blommor och andra växter, frön och gödselmedel"
556535-3652,Zarings Åkeri i Hällefors Aktiebolag,49410,"Vägtransport, godstrafik"
559360-5164,Byggservice Lbg AB,41200,Byggande av bostadshus och andra byggnader
559370-0130,Riff Borgholm AB,56100,Restaurangverksamhet
559159-1523,K.E.E. Swedish Care Technologies AB,70220,Konsultverksamhet avseende företags organisation
556822-2870,Text & Dekor Askersund AB,32990,Diverse övrig tillverkning
556320-4444,Ledin Bil AB,45201,Allmän service och reparation av motorfordon utom motorcyklar
556946-5528,Kennedies Nygatan AB,47711,"Specialiserad butikshandel med herr-, dam- och barnkläder, blandat"
559136-2016,Pizzeria Milano i Lindesberg AB,56100,Restaurangverksamhet
556802-3542,Nordica Assistans AB,88102,Öppna sociala insatser för personer med funktionshinder
559073-7846,Apex Öl i Bergslagen AB,11050,Framställning av öl
556963-5054,Roliw AB,56100,Restaurangverksamhet
559192-4575,CGuns Livsmedel AB,47112,"Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad"
559419-1412,Hins Bilar AB,45203,Installationer och reparationer av elsystem till motorfordon utom motorcyklar
559419-1412,Hins Bilar AB,45192,"Handel med husvagnar, husbilar, släpfordon och påhängsvagnar"
559419-1412,Hins Bilar AB,45110,Handel med personbilar och lätta motorfordon
559419-1412,Hins Bilar AB,45201,Allmän service och reparation av motorfordon utom motorcyklar
559419-1412,Hins Bilar AB,45191,"Handel med lastbilar, bussar och specialfordon"
559030-1973,Halbeco Fastigheter Halmstad AB,68202,Uthyrning och förvaltning av egna eller arrenderade industrilokaler
559030-1973,Halbeco Fastigheter Halmstad AB,16103,Träimpregnering
556924-5763,Firyan i Örebro AB,96021,Hårvård
556474-8191,Svenska Säkerhetssystem Teknik Aktiebolag,80200,Säkerhetssystemtjänster
556474-8191,Svenska Säkerhetssystem Teknik Aktiebolag,43210,Elinstallationer
559299-1441,Örebro Gåsen Fastigheter AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
559055-5735,Boka Global AB,96022,Skönhetsvård
559275-0276,Stefans Markberedning AB,02102,Skogsskötsel
559019-6340,Alessandros AB,56100,Restaurangverksamhet
559196-9265,Örebro Flyttningsbyrå Fjärr & Express AB,52290,Övriga stödtjänster till transport
559288-7581,ADOEE AB,56100,Restaurangverksamhet
556625-2564,Skyltcity i Värmland AB,18122,Tryckning av böcker och övriga trycksaker
556625-2564,Skyltcity i Värmland AB,73111,Reklambyråverksamhet
556830-7754,Plantmarknaden Trädgård & Café Lindesberg AB,01302,Odling av plantskoleväxter m.m. på friland
556830-7754,Plantmarknaden Trädgård & Café Lindesberg AB,47761,"Specialiserad butikshandel med blommor och andra växter, frön och gödselmedel"
556830-7754,Plantmarknaden Trädgård & Café Lindesberg AB,47241,Specialiserad butikshandel med bröd och konditorivaror
556830-7754,Plantmarknaden Trädgård & Café Lindesberg AB,10710,Tillverkning av mjukt matbröd och färska bakverk
556830-7754,Plantmarknaden Trädgård & Café Lindesberg AB,56100,Restaurangverksamhet
559326-9276,JoS Gunnarsson AB,43320,Byggnadssnickeriarbeten
559326-9276,JoS Gunnarsson AB,69201,Redovisning och bokföring
556468-9718,Centrumledningsbolaget i Örebro Aktiebolag,70220,Konsultverksamhet avseende företags organisation
556634-8958,LGN Logistik AB,49410,"Vägtransport, godstrafik"
556634-8958,LGN Logistik AB,25610,Beläggning och överdragning av metall
559272-9833,Örebros bästa Catering& AB,56100,Restaurangverksamhet
559386-7905,BB Bygg i Lindesberg AB,41200,Byggande av bostadshus och andra byggnader
559386-7905,BB Bygg i Lindesberg AB,43320,Byggnadssnickeriarbeten
556724-2267,EVIAB Gruppen AB,70100,Verksamheter som utövas av huvudkontor
559285-4227,Svenska PlåtIsolering AB,43290,Andra bygginstallationer
556698-6005,IFH Properties Laxå AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
559280-1996,CSI Sociala Insatser AB,87902,Omsorg och sociala insatser i övriga boendeformer för vuxna
556911-3755,Tinas Konståkningsshop AB,47912,Postorderhandel och detaljhandel på Internet med beklädnadsvaror
559352-2930,VIP Scaffolding AB,43999,Diverse övrig specialiserad bygg- och anläggningsverksamhet
556339-2223,Presennings-Service i Örebro Aktiebolag,13922,"Tillverkning av presenningar, tält, segel o.d."
556905-4165,Peter Ericssons Mekaniska AB,25620,Metallegoarbeten
556421-2644,Norra Cykel- & Motor i Örebro Aktiebolag,47642,Specialiserad butikshandel med cyklar
556861-9604,Förskolan Våra Små AB,85100,Förskoleutbildning
556522-8763,PeCe Data Mellansverige AB,46692,Partihandel med datoriserad materialhanteringsutrustning
556933-5333,Lock & Load Event AB,47711,"Specialiserad butikshandel med herr-, dam- och barnkläder, blandat"
556933-5333,Lock & Load Event AB,47789,Övrig specialiserad butikshandel
556933-5333,Lock & Load Event AB,93290,Övrig fritids- och nöjesverksamhet
556539-3062,Delibake Maskin AB,77390,Uthyrning och leasing av övrig utrustning och övriga maskiner och materiella tillgångar
556531-1148,DediTech AB,46691,Partihandel med mät- och precisionsinstrument
559037-2123,Mathisborgen i Kanaansland AB,01500,Blandat jordbruk
559094-1869,BJP Race AB,45320,Detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar
556824-5988,Aram & Arda AB,56100,Restaurangverksamhet
556557-7144,C E Skog AB,02200,Drivning
559422-7968,Viktor Källbom Markentreprenad AB,43120,Mark- och grundarbeten
556751-0580,Stratega Redovisning och Revision AB,69201,Redovisning och bokföring
556751-0580,Stratega Redovisning och Revision AB,69202,Revision
556259-0231,Truckservice i Kumla Aktiebolag,33120,Reparation av maskiner
556259-0231,Truckservice i Kumla Aktiebolag,46699,Partihandel med diverse övriga maskiner och utrustning
556259-0231,Truckservice i Kumla Aktiebolag,77390,Uthyrning och leasing av övrig utrustning och övriga maskiner och materiella tillgångar
556783-7249,Molles Schakt i Glanshammar AB,43120,Mark- och grundarbeten
559210-1421,Mikael Andersson Entreprenadservice AB,33120,Reparation av maskiner
559210-1421,Mikael Andersson Entreprenadservice AB,43120,Mark- och grundarbeten
559210-1421,Mikael Andersson Entreprenadservice AB,49410,"Vägtransport, godstrafik"
559336-8045,Resares Rör AB,43221,Värme- och sanitetsarbeten
559336-8045,Resares Rör AB,46742,Partihandel med VVS-varor
556191-3921,Askersundshälsan Aktiebolag,86212,"Annan allmän öppen hälso- och sjukvård, ej primärvård"
559023-9496,Örebro rör-rätt och optimering AB,43221,Värme- och sanitetsarbeten
559082-4172,Blästermäster i Örebro AB,43341,Måleriarbeten
559082-4172,Blästermäster i Örebro AB,43999,Diverse övrig specialiserad bygg- och anläggningsverksamhet
559082-4172,Blästermäster i Örebro AB,43991,Uthyrning av bygg- och anläggningsmaskiner med förare
556674-7688,ITFokus Sweden AB,62020,Datakonsultverksamhet
556674-7688,ITFokus Sweden AB,62010,Dataprogrammering
556674-7688,ITFokus Sweden AB,47911,Postorderhandel och detaljhandel på Internet med brett sortiment
559469-4639,The Fellowship Of Korv AB,56100,Restaurangverksamhet
559031-7110,Ante på Röken AB,56100,Restaurangverksamhet
559031-7110,Ante på Röken AB,69201,Redovisning och bokföring
559031-7110,Ante på Röken AB,68100,Handel med egna fastigheter
559031-7110,Ante på Röken AB,47810,"Torg- och marknadshandel med livsmedel, drycker och tobak"
559031-7110,Ante på Röken AB,64993,Förvaltning av och handel med värdepapper för en begränsad och sluten krets av ägare
556586-5655,Jansson Fastigheter i Örebro AB,68201,Uthyrning och förvaltning av egna eller arrenderade bostäder
556341-4332,A Persson Affärsutveckling AB,70220,Konsultverksamhet avseende företags organisation
556341-4332,A Persson Affärsutveckling AB,25620,Metallegoarbeten
556797-6781,Hamadi Food AB,56100,Restaurangverksamhet
556826-6125,Sofia Kagg AB,74103,Inredningsarkitektverksamhet
559429-7185,Johansson Jord & Maskin AB,01110,"Odling av spannmål (utom ris), baljväxter och oljeväxter"
559429-7185,Johansson Jord & Maskin AB,42110,Anläggning av vägar och motorvägar
556765-7399,Tycke Grus AB,08120,"Utvinning av sand, grus och berg; utvinning av lera och kaolin"
556765-7399,Tycke Grus AB,43120,Mark- och grundarbeten
556540-4372,Lindesbergs El AB,43210,Elinstallationer
559032-8737,LPG Trafikmarkeringar AB,43120,Mark- och grundarbeten
559032-8737,LPG Trafikmarkeringar AB,49410,"Vägtransport, godstrafik"
559032-8737,LPG Trafikmarkeringar AB,46731,Partihandel med virke och andra byggmaterial
559032-8737,LPG Trafikmarkeringar AB,71122,Teknisk konsultverksamhet inom industriteknik
556302-5914,Kumla Däck Aktiebolag,45204,Däckservice
556213-0061,CCL Försäljnings Aktiebolag,00009,Huvudnäring okänd
556587-5670,Nya Väster Tobak i Örebro AB,47260,Specialiserad butikshandel med tobaksvaror
556587-5670,Nya Väster Tobak i Örebro AB,92000,Spel- och vadhållningsverksamhet
559121-4019,Hamburgerbruket i Örebro AB,56100,Restaurangverksamhet
559057-2961,KIGAB Kumla Industrigolv & Byggservice AB,41200,Byggande av bostadshus och andra byggnader
559057-2961,KIGAB Kumla Industrigolv & Byggservice AB,43999,Diverse övrig specialiserad bygg- och anläggningsverksamhet
559057-2961,KIGAB Kumla Industrigolv & Byggservice AB,43330,Golv- och väggbeläggningsarbeten
559057-2961,KIGAB Kumla Industrigolv & Byggservice AB,45201,Allmän service och reparation av motorfordon utom motorcyklar
559277-1041,AJ Bygg Karlskoga AB,41200,Byggande av bostadshus och andra byggnader
559373-3800,Husherren Kardanen AB,68203,"Uthyrning och förvaltning av egna eller arrenderade, andra lokaler"
556961-2558,Motorcentrum V AB,45201,Allmän service och reparation av motorfordon utom motorcyklar
