name,legal_name,org_number,city,revenue,employees,emails,phone,website,sni2,sni_codes,registration_date,company_age_years,share_capital,priority_score
Säljar'n i Närke Aktiebolag,Säljar'n i Närke Aktiebolag,556489-7600,Örebro,130904,32.0,['orebro@elon.se'],019-20 73 56,https://www.elon.se/alla-butiker/elon-saljar-n-i-narke,47,"['47540 Specialiserad butikshandel med elektriska hushållsmaskiner och hushållsapparater', '47522 Specialiserad butikshandel med järn- och VVS-varor']",1994-07-12,31.2,400.0,0.748
Svenska kyrkans bostäder i Örebro AB,Svenska kyrkans bostäder i Örebro AB,556659-5053,Örebro,26034,3.0,['orebro.pastorat@svenskakyrkan.se'],019-15 45 30,https://www.svenskakyrkan.se/orebro/bo,68,"['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder', '56100 Restaurangverksamhet']",2004-04-07,21.4,20000.0,0.748
Myrina Invest Aktiebolag,Myrina Invest Aktiebolag,556204-2555,Örebro,3303,3.0,"['sara.sjoborgwik@myrinainvest.se', 'hannah.ljung@myrinainvest.se', 'mattias.ekman@myrinainvest.se', 'ulrika.greengustafsson@myrinainvest.se']",019-32 53 10,https://www.myrinainvest.se/,70,['70100 Verksamheter som utövas av huvudkontor'],1980-01-01,45.7,20000.0,0.748
Bengts Åkeri i Örebro Aktiebolag,Bengts Åkeri i Örebro Aktiebolag,556500-8090,Örebro,358629,230.0,"['robert.rydh@bengtsakeri.se', 'tony.johansson@bengtsakeri.se', 'helena.sjolinder@bengtsakeri.se', 'therese.johansson@bengtsakeri.se', 'tony.lilja@bengtsakeri.se', 'tobias.lindstrom@bengtsakeri.se', 'joachim.akerstrom@bengtsakeri.se', 'carl.eriksson@bengtsakeri.se', 'greger.persson@bengtsakeri.se', 'niklas.johansson@bengtsakeri.se', 'claes.torstensson@bengtsakeri.se', 'katarina.essen@bengtsakeri.se', 'peter.bjurenholt@bengtsakeri.se', 'nattforman@bengtsakeri.se', 'staffan.dahn@bengtsakeri.se', 'pernilla.graff@bengtsakeri.se', 'jonny.lindblom@bengtsakeri.se', 'carina.davidsson@bengtsakeri.se']",019-27 09 10,https://bengtsakeri.se/,49,"['49410 Vägtransport, godstrafik']",1994-12-02,30.8,1000.0,0.747
Vivida Assistans AB,Vivida Assistans AB,556666-3265,Örebro,289741,453.0,"['vivida@vivida-assistans.se', 'vivida@vivida-assistans.se']",019-555 43 01,https://www.vivida.se/,88,['88102 Öppna sociala insatser för personer med funktionshinder'],2004-09-14,21.0,520.0,0.747
Tommy Allström Byggproduktion AB,Tommy Allström Byggproduktion AB,556554-8426,LINDESBERG,1664389,59.0,"['tab@tabyggproduktion.se', 'tab@tabyggproduktion.se', 'tab@tabyggproduktion.se']",0581-419 91,http://www.tabyggproduktion.se,41,['41200 Byggande av bostadshus och andra byggnader'],1998-04-16,27.4,100.0,0.745
Lindesbergs Bilskadecenter AB,Lindesbergs Bilskadecenter AB,556690-5310,Lindesberg,34157,17.0,['43info@lindebilskadecenter.se'],0581-148 43,https://lindebilskadecenter.se/,45,"['45202 Plåt-, lack- och glasreparationer på motorfordon utom motorcyklar']",2005-11-15,19.8,600.0,0.745
Partega Bygg & Anläggning AB,Partega Bygg & Anläggning AB,559339-1856,Örebro,41686,16.0,"['info@partega.se', 'info@partega.se', 'joel.ringnander@partega.se', 'robert.eriksson@partega.se', 'jesper.welin@partega.se', 'kristoffer.gronlund@partega.se', 'johan.akerblad@partega.se', 'annette.lovsater@partega.se', 'andreas.edstrom@partega.se', 'joakim.wiren@partega.se', 'niclas.bengtsson@partega.se', 'mark.ryan@partega.se', 'filip.ahlstrom@partega.se', 'daniel.esping@partega.se', 'michael.johansson@partega.se', 'effe.leijonhufvud@partega.se', 'kenneth.billstrom@partega.se', 'kristian.englund@partega.se', 'rickie.ehn@partega.se', 'christian.blomquist@partega.se', 'patrik.fridell@partega.se', 'anton.lalander@partega.se', 'kevin.schiege@partega.se', 'johan.dalgren@partega.se', 'arton.bekaj@partega.se', 'alexander.toresson@partega.se', 'oskar.svanstrom@partega.se', 'jonas.eriksson@partega.se', 'matheus.ekblom@partega.se', 'lukas.schiege@partega.se', 'pelle.wallquist@partega.se', 'daniel.johansson@partega.se', 'anthon.paulsson@partega.se', 'helene.ekblom@partega.se', 'robert.johansson@partega.se', 'stefan.brynolfsson@partega.se', 'mikael.toyryla@partega.se', 'patrik.viktorsson@partega.se', 'alexander.gustafsson@partega.se', 'ulf.olsson@partega.se', 'martin.ingvarsson@partega.se', 'marcus.brannstrom@partega.se', 'erik.krook@partega.se', 'andreas.saarenpaa@partega.se', 'anton.lundqvist@partega.se', 'pierre.pohner@partega.se', 'peter.wiren@partega.se', 'kristian.hedstrom@partega.se', 'morgan.norgren@partega.se', 'info@partega.se', 'fredrik.peippo@partega.se', 'dennis.riihimaki@partega.se']",019-500 67 00,https://partega.se/,43,"['43120 Mark- och grundarbeten', '41200 Byggande av bostadshus och andra byggnader']",2021-10-07,3.9,50.0,0.744
Sigma Polymer Group AB,Sigma Polymer Group AB,556048-3629,Örebro,251891,104.0,['info@sigmapolymergroup.com'],019-16 47 00,https://sigmapolymergroup.com/sv/,22,['22190 Annan gummivarutillverkning'],1946-10-02,78.9,1500.0,0.743
Axess Bygg & Entreprenad Örebro AB,Axess Bygg & Entreprenad Örebro AB,559268-2867,Örebro,48919,15.0,"['57niklas@axessbygg.se', '50markus@axessbygg.se', '52sanny@axessbygg.se', '51mathias@axessbygg.se', 'info@axessbygg.se']",019-500 21 50,https://www.axessbygg.se/,41,['41200 Byggande av bostadshus och andra byggnader'],2020-08-25,5.0,25.0,0.743
Asplunds Bygg i Örebro AB,Asplunds Bygg i Örebro AB,556536-4469,Örebro,312041,59.0,"['andreas.berg@asplundsbygg.se', 'fredrik.blomberg@asplundsbygg.se', 'viktor.hresan@asplundsbygg.se', 'paulina.kareback@asplundsbygg.se', 'leif.forsell@asplundsbygg.se', 'albert.ellervik@asplundsbygg.se', 'alf.joakimsson@asplundsbygg.se', 'mats.kardell@asplundsbygg.se', 'carola.johansson@asplundsbygg.se', 'ulrika.svensson@asplundsbygg.se', 'henrik.pantzar@asplundsbygg.se', 'mike.johansson@asplundsbygg.se', 'fredrik.hultgren@asplundsbygg.se', 'kenneth.larsson@asplundsbygg.se', 'ewa-marie.holmberg@asplundsbygg.se', 'ruta.simkute@asplundsbygg.se', 'christofer.lagerbielke@asplundsbygg.se', 'lotta.ekstrom@asplundsbygg.se', 'mats.eriksson@asplundsbygg.se', 'ann-louise.sundstrom@asplundsbygg.se', 'peter.abramsson@asplundsbygg.se', 'jesper.forsman@asplundsbygg.se', 'susanne.karlsson@asplundsbygg.se', 'per-anders.palm@asplundsbygg.se', 'sara.persson@asplundsbygg.se', 'andreas.sahlen@asplundsbygg.se', 'simon.wagby@asplundsbygg.se']",019-17 40 00,https://asplundsbygg.se/,41,['41200 Byggande av bostadshus och andra byggnader'],1996-11-27,28.8,100.0,0.741
BS Åkeri Bengt Strömvall Aktiebolag,BS Åkeri Bengt Strömvall Aktiebolag,556355-2735,Örebro,234717,57.0,"['martin.elliot@stromvalls.se', 'bengt@stromvalls.se', 'cissi@stromvalls.se', 'jimmy@stromvalls.se', 'kim@stromvalls.se', 'daniel.wigerfelt@stromvalls.se', 'goran@stromvalls.se', 'daniel@stromvalls.se']",019-28 11 11,https://stromvalls.se/,43,['43120 Mark- och grundarbeten'],1989-03-30,36.4,100.0,0.741
El & PC-Installationer i Örebro Aktiebolag,El & PC-Installationer i Örebro Aktiebolag,556196-2308,Örebro,91001,62.0,"['johan@elpc.se', 'juha@elpc.se', 'goran@elpc.se', 'info@elpc.se', 'andreas@elpc.se', 'helen@elpc.se']",019-36 10 30,https://www.elpc.se/,43,['43210 Elinstallationer'],1978-01-01,47.7,100.0,0.741
Sonat AB,Sonat AB,556582-9354,Örebro,87196,76.0,"['charlotte.holmberg@sonat.se', 'info@sonat.se', 'mattias.norin@sonat.se', 'niclas.ramsin@sonat.se', 'bjorn.redig@sonat.se']",08-20 27 40,https://www.sonat.se/,70,['70220 Konsultverksamhet avseende företags organisation'],2000-01-13,25.7,500.0,0.741
"NLF, Nora-Lindefrakt Aktiebolag","NLF, Nora-Lindefrakt Aktiebolag",556089-5665,Lindesberg,239118,16.0,"['faktura@noralindefrakt.se', 'rs@noralindefrakt.se', 'info@noralindefrakt.se', 'order@noralindefrakt.se']",0581-845 12,http://www.noralindefrakt.se/hem,52,['52290 Övriga stödtjänster till transport'],1963-10-16,61.9,6863.0,0.74
INTEC Mitt AB,INTEC Mitt AB,559273-5236,Örebro,94888,66.0,['00info@intec.se'],010-204 09 00,https://intec.se/,71,"['71124 Teknisk konsultverksamhet inom energi-, miljö- och VVS-teknik']",2020-09-25,5.0,25.0,0.74
Anders Schakt i Vintrosa Aktiebolag,Anders Schakt i Vintrosa Aktiebolag,556302-0733,Örebro,93716,47.0,['anders.schakt@telia.com'],070-529 46 04,https://www.andersschakt.se/,43,['43120 Mark- och grundarbeten'],1987-08-14,38.1,100.0,0.739
Björkholms El Aktiebolag,Björkholms El Aktiebolag,556095-2094,Örebro,23444,14.0,"['rasmus.eriksen@bjorkholms.se', 'andreas.refdahl@bjorkholms.se', 'andreas.sohlberg@bjorkholms.se', 'sven.wolf@bjorkholms.se', 'espen.jorgensen@bjorkholms.se', 'peter.andersson@bjorkholms.se', 'jonas.pehrson@bjorkholms.se', 'info@bjorkholms.se', 'urban.larsson@bjorkholms.se', 'anders.thyresjo@bjorkholms.se', 'kajsa.rosenberg@bjorkholms.se', 'erik.blomqvist@bjorkholms.se', 'moa.linne@bjorkholms.se', 'jakob.rosenberg@bjorkholms.se', 'per.hildor@bjorkholms.se', 'maurice.leemans@bjorkholms.se', 'johan.kjellberg@bjorkholms.se', 'anders.gustafsson@bjorkholms.se']",019-760 77 30,https://bjorkholms.se/,43,"['43210 Elinstallationer', '47594 Specialiserad butikshandel med belysningsartiklar']",1964-11-20,60.8,300.0,0.738
Österling Bygg Örebro AB,Österling Bygg Örebro AB,559370-4983,Örebro,21749,8.0,"['johannes.kanat@osterling-bygg.se', 'johan.bergstrom@osterling-bygg.se', 'peter.lof@osterling-bygg.se', 'kaij.bjorklund@osterling-bygg.se', 'anton.hagglund@osterling-bygg.se', 'johan.peterson@osterling-bygg.se', 'robert.greberg@osterling-bygg.se', 'jesper.thang@osterling-bygg.se', 'pelle.henriksson@osterling-bygg.se', 'joacim.hoonk@osterling-bygg.se', 'andreas.borg@osterling-bygg.se', 'jenny.serenius@osterling-bygg.se', 'christer.johansson@osterling-bygg.se', 'rickard.dahlin@osterling-bygg.se', 'daniel.hull@osterling-bygg.se', 'johan.englund@osterling-bygg.se', 'jesper.serenius@osterling-bygg.se', 'fredrik.selin@osterling-bygg.se', 'soren.gafvert@osterling-bygg.se', 'jakob.lissars@osterling-bygg.se', 'ingemar.eriksson@osterling-bygg.se', 'mattias@osterling-bygg.se', 'tobias.jarleskog@osterling-bygg.se', 'per.wallstedt@osterling-bygg.se', 'jan.perjans@osterling-bygg.se', 'andreas.magnusson@osterling-bygg.se']",0225-150 05,https://osterling-bygg.se/,43,['43320 Byggnadssnickeriarbeten'],2022-03-15,3.5,50.0,0.736
Brogrund Mark AB,Brogrund Mark AB,556700-6266,Örebro,275342,42.0,"['info@brogrund.se', 'info@brogrund.se', 'magnus.lundqvist@brogrund.se', 'mikael.tagesson@brogrund.se', 'adm@brogrund.se', 'kontaktinfo@brogrund.se', 'dominik.czauderna@brogrund.se', 'jesper.almlof@brogrund.se', 'johan.ragnarsson@brogrund.se', 'fredrik.hammargren@brogrund.se', 'denise.marchesoni@brogrund.se', 'parmida.dehghanian@brogrund.se', 'andreas.atienzo@brogrund.se', 'erica.sunstrom@brogrund.se', 'niklas.hogberg@brogrund.se']",070-298 36 70,http://www.brogrund.se,43,['43999 Diverse övrig specialiserad bygg- och anläggningsverksamhet'],2006-03-23,19.5,100.0,0.735
Centrala Gummi AB,Centrala Gummi AB,556733-7331,ÖREBRO,197416,23.0,"['info@centralagummi.com', 'info@centralagummi.com', 'e-postper@centralagummi.com']",019-26 30 10,http://www.centralagummi.com,45,"['45204 Däckservice', '45320 Detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar']",2007-07-03,18.2,400.0,0.735
Wani El Aktiebolag,Wani El Aktiebolag,556124-4731,Örebro,47970,31.0,['info@wani.se'],019-611 85 32,https://wani.se/,43,['43210 Elinstallationer'],1969-03-18,56.5,100.0,0.735
Kumla Tak Aktiebolag,Kumla Tak Aktiebolag,556495-0557,Örebro,108289,29.0,['info@kumlatak.se'],070-207 29 26,https://kumlatak.se/,43,['43912 Takarbeten av andra material än plåt'],1994-10-11,30.9,100.0,0.734
Lindesbergs VVS AB,Lindesbergs VVS AB,556595-6942,Lindesberg,57221,28.0,"['44matilda@lindesbergsvvs.se', '48henrik@lindesbergsvvs.se', '40info@lindesbergsvvs.se', '42lina@lindesbergsvvs.se', '41anna@lindesbergsvvs.se', '47kim@lindesbergsvvs.se', 'info@lindesbergsvvs.se', 'vd070-4017255kimmo@lindesbergsvvs.se', '45ria@lindesbergsvvs.se']",0581-836 40,https://www.lindesbergsvvs.se/,43,['43221 Värme- och sanitetsarbeten'],2000-08-09,25.1,100.0,0.734
Bilforum i Örebro Aktiebolag,Bilforum i Örebro Aktiebolag,556309-1866,Örebro,53589,5.0,"['alexander@bilforum.se', 'ekonomi@bilforum.se', 'torbjorn@bilforum.se', 'annette@bilforum.se', 'info@bilforum.se', 'larsson@bilforum.se']",019-601 20 50,https://bilforum.se/,45,"['45110 Handel med personbilar och lätta motorfordon', '45201 Allmän service och reparation av motorfordon utom motorcyklar']",1987-10-19,37.9,500.0,0.734
Abramssons Fastighets Aktiebolag,Abramssons Fastighets Aktiebolag,556408-4704,Örebro,51595,8.0,['info@abramssons.se'],019-15 01 20,http://www.abramssons.se/,68,"['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder', '68202 Uthyrning och förvaltning av egna eller arrenderade industrilokaler', '68320 Fastighetsförvaltning på uppdrag', '68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler']",1990-10-16,34.9,2000.0,0.734
KTM Sportmotorcycle Scandinavia AB,KTM Sportmotorcycle Scandinavia AB,556625-1228,Örebro,47887,28.0,"['anders.sarbacken@ktm.se', 'sandra.almqvist@ktm.se']",019-58 57 50,https://www.mynewsdesk.com/se/ktm-sportmotorcycle-scandinavia-ab/pressreleases/ktm-at-intermot-1063624,45,['45400 Handel med och service av motorcyklar inklusive reservdelar och tillbehör'],2002-03-04,23.5,100.0,0.734
Auto Bilservice i Närke AB,Auto Bilservice i Närke AB,556415-4804,Örebro,9394,9.0,"['info@autobilservice.se', 'info@autobilservice.se', 'info@autobilservice.se']",019-27 18 19,http://www.autobilservice.se,45,['45201 Allmän service och reparation av motorfordon utom motorcyklar'],1991-01-30,34.6,300.0,0.734
Örebro Parkett och Golv Aktiebolag,Örebro Parkett och Golv Aktiebolag,556403-5557,Örebro,54800,24.0,['info@gvk.se'],019-16 10 72,https://www.gvk.se/foretag/orebro/orebro-parkett--golv-ab/,43,"['43330 Golv- och väggbeläggningsarbeten', '47521 Specialiserad butikshandel med virke och byggvaror']",1990-09-26,35.0,100.0,0.733
Pitcher's i Örebro AB,Pitcher's i Örebro AB,556678-1687,Örebro,51733,25.0,['info.orebro@pitchers.se'],019-25 30 40,https://www.pitchers.se/orebro,56,['56100 Restaurangverksamhet'],2005-03-16,20.5,100.0,0.733
Rolf Lindström Undertak AB,Rolf Lindström Undertak AB,556545-5655,Örebro,46473,24.0,"['info@lindstromundertak.se', 'info@lindstromundertak.se', 'j.lundquist@flex.se', 'p.olsson@flex.se', 'robert@lindstromundertak.se', 'info@lindstromundertak.se', 'ac.hellsing@flex.se', 'mikael@lindstromundertak.se', 'l.sorman@flex.se']",019-27 09 20,http://www.lindstromundertak.se,43,['43320 Byggnadssnickeriarbeten'],1997-09-19,28.0,100.0,0.733
