name,profile_url,emails,org_number,revenue,legal_name,registration_date,company_type,employees,address,postal_address,city,share_capital,sni_codes,business_purpose,ceo,phone,website
Nätterlund Entreprenad AB,https://www.allabolag.se/foretag/n%C3%A4tterlund-entreprenad-ab/%C3%B6rebro/-/5591968945,[],559196-8945,19764,Nätterlund Entreprenad AB,2019-02-28,Aktiebolag,11,"Gamla Vägen 12 b, 702 27 Örebro","Gamla Vägen 12 b, 702 27 Örebro",Örebro,50Tkr,"['41000 Byggande av bostadshus och andra byggnader', '43120 Mark- och grundarbeten']","Föremålet för bolagets verksamhet är att bedriva ny-, till- ombyggnation och inredning av bostäder, äga och förvalta fastigheter och värdepapper. Bolaget ska bedriva markentreprenader, rådgivning, projektering, renovering och andra arbeten inom byggbranschen samt därmed förenlig verksamhet.",Nils Fridolf Alexander Nätterlund,076-336 20 28,
Ekbloms i Örebro AB,https://www.allabolag.se/foretag/ekbloms-i-%C3%B6rebro-ab/%C3%B6rebro/-/5569984718,[],556998-4718,19688,Ekbloms i Örebro AB,2014-12-23,Aktiebolag,9,"Attersta 315, 705 94 Örebro","Attersta 315, 705 94 Örebro",Örebro,50Tkr,"['49410 Vägtransport, godstrafik', '46630 Partihandel med gruv-, bygg- och anläggningsmaskiner', '81210 Lokalvård']","Föremålet för bolagets verksamhet är att bedriva åkeriverksamhet, försäljning av tillbehör till lastbilar, stubbfräsning, trädfällning samt därmed förenlig verksamhet och städning och därmed förenlig verksamhet.",,,
Roje AB,https://www.allabolag.se/foretag/roje-ab/lindesberg/-/5591345342,[],559134-5342,19674,Roje AB,2017-11-20,Aktiebolag,6,"Bandygatan 1, 711 34 Lindesberg","c/o Roger Göransson, Bandygatan 1, 711 34 Lindesberg",Lindesberg,500Tkr,['47789 Övrig specialiserad detaljhandel'],"Bolagets verksamhet ska utgöras av detaljhandel med byggvaror, verktyg m.m. och därmed liknande verksamheter. Även förvaltning av fastigheter och värdepapper och därmed liknande verksamheter.",Lars Roger Göransson,,
JPS Installation AB,https://www.allabolag.se/foretag/jps-installation-ab/karlskoga/-/5593194870,[],559319-4870,19620,JPS Installation AB,2021-05-27,Aktiebolag,12,"Sturevägen 3, 691 41 Karlskoga","Sturevägen 3, 691 41 Karlskoga",Karlskoga,25Tkr,['43210 Elinstallationer'],El och teleinstallationer.,John Peter Samuelsson,070-733 69 81,
Sinoma Argonet 6 AB,https://www.allabolag.se/foretag/sinoma-argonet-6-ab/%C3%B6rebro/-/5565983425,[],556598-3425,19616,Sinoma Argonet 6 AB,2000-09-25,Aktiebolag,0,"Ozongatan 1, 703 74 Örebro","Box 53121, 400 15 Göteborg",Göteborg,2 000Tkr,"['68203 Uthyrning och förvaltning av egna eller arrenderade, andra lokaler', '70100 Verksamheter som utövas av huvudkontor', '77110 Uthyrning och leasing av personbilar och lätta motorfordon']","Bolaget skall direkt eller indirekt genom hel- eller delägda bolag, förvärva, förvalta, förädla, äga fast egendom och värdepapper samt bedriva annan därmed förenlig verksamhet.",,,
Henrik Bergs Gräv & Entreprenad i Karlskoga AB,https://www.allabolag.se/foretag/henrik-bergs-gr%C3%A4v-entreprenad-i-karlskoga-ab/karlskoga/-/5590901285,[],559090-1285,19612,Henrik Bergs Gräv & Entreprenad i Karlskoga AB,2016-12-08,Aktiebolag,6,"Kilsta Norra Industriväg 5, 691 37 Karlskoga","Kilsta Norra Industriväg 5, 691 37 Karlskoga",Karlskoga,50Tkr,['43120 Mark- och grundarbeten'],"Bolaget skall tillhandahålla material och tjänster inom mark och schaktarbeten, inom området förekommande rörarbeten och därmed förenlig verksamhet.",,,
Guldsmedshyttans Mekaniska AB,https://www.allabolag.se/foretag/guldsmedshyttans-mekaniska-ab/guldsmedshyttan/-/5569740102,[],556974-0102,19598,Guldsmedshyttans Mekaniska AB,2014-06-10,Aktiebolag,15,"Elzwiks Väg 1, 711 78 Guldsmedshyttan","Elzwiks Väg 1, 711 78 Guldsmedshyttan",Guldsmedshyttan,100Tkr,"['25530 Metallegoarbeten', '33120 Reparation och underhåll av maskiner']","Bolaget ska bedriva mekanisk verkstad samt service-, montage-, reparations- och underhållsarbeten mot tillverkande industri samt därmed förenlig verksamhet.",Karl Arne Jansson,,
VANAB AB,https://www.allabolag.se/foretag/vanab-ab/%C3%B6rebro/-/5590847975,[],559084-7975,19558,VANAB AB,2016-11-10,Aktiebolag,0,"Virkesvägen 8, 703 83 Örebro","Virkesvägen 8, 703 83 Örebro",Örebro,50Tkr,['43120 Mark- och grundarbeten'],Bolaget skall bedriva mark- och anläggningsarbeten samt därmed förenlig verksamhet.,Bengt Johan Ålund,,
Örebro Läns Bilgrupp AB,https://www.allabolag.se/foretag/%C3%B6rebro-l%C3%A4ns-bilgrupp-ab/%C3%B6rebro/-/5591841704,[],559184-1704,19543,Örebro Läns Bilgrupp AB,2018-12-06,Aktiebolag,5,"Bessemervägen 6, 703 63 Örebro","Bessemervägen 6, 703 63 Örebro",Örebro,50Tkr,"['95312 Plåt-, lack- och glasreparationer på motorfordon utom motorcyklar', '47811 Detaljhandel med personbilar och lätta motorfordon']",Företaget ska bedriva verksamhet inom billackering och reparationer av plåtskador samt inom handel med bilar jämte därmed förenlig verksamhet.,,,
Sincera Organisationsutveckling AB,https://www.allabolag.se/foretag/sincera-organisationsutveckling-ab/%C3%B6rebro/-/5566000625,[],556600-0625,19424,Sincera Organisationsutveckling AB,2000-11-06,Aktiebolag,7,"Olaigatan 34, 703 61 Örebro","Olaigatan 34, 703 61 Örebro",Örebro,100Tkr,['70200 Konsultverksamhet avseende företags organisation'],"Föremålet för bolagets verksamhet är konsultverksamhet inom arbetspsykologi vid chefs- och ledarutveckling, konflikthante- ring, grupp- och organisationsutveckling samt vid urval och rek- rytering och interimslösningar. Arbetspsykologisk utredning och åtgärd, coachning, handledning och undervisning, samt därmed förenlig verksamhet.",Åsa Maria Önander,,
Think Happy Thoughts AB,https://www.allabolag.se/foretag/think-happy-thoughts-ab/%C3%B6rebro/-/5567093355,[],556709-3355,19419,Think Happy Thoughts AB,2006-08-23,Aktiebolag,19,"Olaigatan 21, 703 61 Örebro","c/o Think Happy Thoughts AB, Olaigatan 21, 703 61 Örebro",Örebro,100Tkr,['73111 Reklambyråverksamhet'],"Aktiebolaget ska bedriva reklamproduktion, reklambyråverksamhet, värdepappershandel och fastighetsförvaltning samt därmed förenlig verksamhet.",Daniel Mats Forneheim,,
LS Örebro rörgrupp AB,https://www.allabolag.se/foretag/ls-%C3%B6rebro-r%C3%B6rgrupp-ab/%C3%B6rebro/-/5590649421,[],559064-9421,19372,LS Örebro rörgrupp AB,2016-06-01,Aktiebolag,10,"Bettorpsgatan 10, 703 84 Örebro","Bettorpsgatan 10, 703 84 Örebro",Örebro,100Tkr,['43221 Värme- och sanitetsarbeten'],"Aktiebolaget ska bedriva installations-, service- och konsultverksamhet inom VVS och ventilation ävensom idka därmed förenlig verksamhet.",Sami Antero Lahtinen,,
Calidris Örebro AB,https://www.allabolag.se/foretag/calidris-%C3%B6rebro-ab/%C3%B6rebro/-/5590445838,[],559044-5838,19341,Calidris Örebro AB,2015-12-28,Aktiebolag,7,"Järnvägsgatan 22, 703 62 Örebro","c/o Hotell Stinsen, Stortorget 3, 694 31 Hallsberg",Hallsberg,50Tkr,"['56110 Restaurangverksamhet', '55101 Hotellverksamhet med restaurangrörelse', '82300 Arrangemang av kongresser och mässor']","Bolaget ska bedriva uthyrning av lokaler, hotellverksamhet, caféverksamhet och fastighetsförvaltning samt därmed förenlig verksamhet.",,019-31 02 40,
Örebro Stängsel Aktiebolag,https://www.allabolag.se/foretag/%C3%B6rebro-st%C3%A4ngsel-aktiebolag/%C3%B6rebro/-/5562301134,[],556230-1134,19325,Örebro Stängsel Aktiebolag,1983-05-14,Aktiebolag,5-9,"Maskingatan 13, 702 86 Örebro","Maskingatan 13, 702 86 Örebro",Örebro,100Tkr,['43240 Andra bygginstallationer'],Bolaget skall utföra montering av stängsel ävensom idka därmed förenlig verksamhet.,,019-32 34 50,
Nordå Fastighetsmäklare Örebro AB,https://www.allabolag.se/foretag/nord%C3%A5-fastighetsm%C3%A4klare-%C3%B6rebro-ab/%C3%B6rebro/-/5590861323,[],559086-1323,19275,Nordå Fastighetsmäklare Örebro AB,2016-11-21,Aktiebolag,10,"Kungsgatan 2 0tr, 702 11 Örebro","c/o Bjurfors, Kungsgatan 2, 702 11 Örebro",Örebro,50Tkr,['68310 Förmedling avseende fastighetsverksamhet'],Bolaget skall bedriva verksamhet med fastighetsmäkleri av alla slags fastigheter även mäkleriverksamhet avseende bostadsrätter och därmed förenlig verksamhet.,,,
Interiörbutiken i Wasastan AB,https://www.allabolag.se/foretag/interi%C3%B6rbutiken-i-wasastan-ab/%C3%B6rebro/-/5565742235,[],556574-2235,19261,Interiörbutiken i Wasastan AB,1999-08-10,Aktiebolag,7,"Adolfsbergsvägen 4, 702 27 Örebro","Adolfsbergsvägen 4, 702 27 Örebro",Örebro,100Tkr,"['47552 Detaljhandel med belysningsartiklar, bordsartiklar och hushållsartiklar utom möbler', '55202 Stug- och rumsuthyrning']",Bolaget skall bedriva handel med heminredningsprodukter och brasvärmeprodukter samt därmed förenlig verksamhet.,,019-17 93 50,
Lastvagnsverkstan i Örebro AB,https://www.allabolag.se/foretag/lastvagnsverkstan-i-%C3%B6rebro-ab/%C3%B6rebro/-/5591058739,[],559105-8739,19254,Lastvagnsverkstan i Örebro AB,2017-03-22,Aktiebolag,5,"Bettorpsgatan 10, 703 84 Örebro","Bettorpsgatan 10, 703 84 Örebro",Örebro,50Tkr,['95311 Allmän service och reparation av motorfordon utom motorcyklar'],Bolaget skall bedriva service och reparationer av tunga fordon samt försäljning av reservdelar.,Sven Johan Larsland,019-10 30 30,
1631 Recordings AB,https://www.allabolag.se/foretag/1631-recordings-ab/%C3%B6rebro/-/5590831094,[],559083-1094,19222,1631 Recordings AB,2016-11-01,Aktiebolag,3,"Lagmansgatan 11, 702 15 Örebro","Lagmansgatan 11, 702 15 Örebro",Örebro,50Tkr,['59200 Ljudinspelning och musikutgivning'],"Bolaget ska syssla med att producera, spela in och distribuera fonogram, med fokus på digital distribution, äga och förvalta värdepapper och därmed förenlig verksamhet.",,,
Rosensjö Industrilackering AB,https://www.allabolag.se/foretag/rosensj%C3%B6-industrilackering-ab/karlskoga/-/5590957378,[],559095-7378,19194,Rosensjö Industrilackering AB,2017-01-02,Aktiebolag,14,"Hangarvägen 34, 691 35 Karlskoga","Rosensjö 909, 691 91 Karlskoga",Karlskoga,50Tkr,['25510 Beläggning och överdragning av metall'],"Bolaget skall bedriva industrilackering, blästring och därmed förenlig verksamhet.",,,
Team Ewertsson Entreprenad AB,https://www.allabolag.se/foretag/team-ewertsson-entreprenad-ab/ervalla/-/5591512271,"[""joakim@ewertssonentreprenad.se"", ""joakim@ewertssonentreprenad.se""]",559151-2271,19178,Team Ewertsson Entreprenad AB,2018-03-05,Aktiebolag,5,"AVDALA 918, 718 94 Ervalla","AVDALA 918, 718 94 Ervalla",Ervalla,50Tkr,['43120 Mark- och grundarbeten'],"Bolaget skall bedriva maskinentreprenad, markanläggningar och transport samt annan därmed förenlig verksamhet.",,070-862 42 73,
Brafrakt i Sverige AB,https://www.allabolag.se/foretag/brafrakt-i-sverige-ab/karlskoga/-/5593045759,[],559304-5759,19152,Brafrakt i Sverige AB,2021-03-01,Aktiebolag,7,"Villagatan 23, 691 41 Karlskoga","Villagatan 23, 691 41 Karlskoga",Karlskoga,300Tkr,"['49410 Vägtransport, godstrafik']","Bolaget ska bedriva åkeriverksamhet, äga och förvalta fast och lös egendom samt idka därmed förenlig verksamhet.",,,
Tjällmo Flis Aktiebolag,https://www.allabolag.se/foretag/tj%C3%A4llmo-flis-aktiebolag/p%C3%A5lsboda/-/5563141596,[],556314-1596,19098,Tjällmo Flis Aktiebolag,1987-12-16,Aktiebolag,4,"Kuggängsvägen 1, 697 31 Pålsboda","Kuggängsvägen 1, 697 31 Pålsboda",Pålsboda,100Tkr,['16111 Sågning av trä'],Bolaget skall bedriva flistillverkning ävensom idka därmed förenlig verksamhet.,Kenneth Andreas Andersson,0141-604 44,
Loxia Rail AB,https://www.allabolag.se/foretag/loxia-rail-ab/%C3%B6rebro/-/5592090137,[],559209-0137,19092,Loxia Rail AB,2019-06-12,Aktiebolag,9,"Fabriksgatan 8, 702 10 Örebro","c/o Loxia Investment AB, Fabriksgatan 8, 702 10 Örebro",Örebro,50Tkr,"['42221 Anläggningsarbeten för el', '42120 Anläggning av järnvägar och tunnelbanor']","Bolaget ska bedriva entreprenadverksamhet, service och reparationer samt uthyrning av personal och maskiner inom järnvägs-,mark- och anläggningsentreprenader samt idka därmed förenlig verksamhet.",Gert Joakim Holtbäck,,
PAAM Systems AB,https://www.allabolag.se/foretag/paam-systems-ab/%C3%B6rebro/-/5567865877,[],556786-5877,19052,PAAM Systems AB,2009-08-04,Aktiebolag,12,"Skomaskinsgatan 6, 702 27 Örebro","Skomaskinsgatan 6, 702 27 Örebro",Örebro,118Tkr,['46649 Partihandel med diverse andra maskiner och diverse annan utrustning'],"Bolaget ska bedriva försäljning och utveckling av system för nyckelhantering, handel med värdepapper samt därmed förenlig verksamhet.",Alf Magnus Lantz,,
XL Zoo Örebro AB,https://www.allabolag.se/foretag/xl-zoo-%C3%B6rebro-ab/%C3%B6rebro/-/5592936917,[],559293-6917,19010,XL Zoo Örebro AB,2020-12-28,Aktiebolag,4,"Bolagsvägen 4 a, 702 36 Örebro","c/o Stjärnebo, Stavsborgsvägen 46, 179 97 Färentuna",Färentuna,25Tkr,['47762 Detaljhandel med små sällskapsdjur'],Butik inom zoologisk handel.,,,
Projektstrateg Sverige AB,https://www.allabolag.se/foretag/projektstrateg-sverige-ab/%C3%B6rebro/-/5591688550,[],559168-8550,18975,Projektstrateg Sverige AB,2018-08-23,Aktiebolag,11,"Verkstadsgatan 2 1tr, 702 27 Örebro","Verkstadsgatan 2 1tr, 702 27 Örebro",Örebro,51Tkr,"['71121 Teknisk konsultverksamhet inom bygg- och anläggningsteknik', '71129 Övrig teknisk konsultverksamhet']","Bolaget skall bedriva konsultverksamhet inom bygg och anläggning, utföra mark- och anläggningsarbeten samt bedriva byggverksamhet och därmed förenlig verksamhet.",Alex Marcel Durand,,
Ceiling Distribution Center Group Scandinavia AB,https://www.allabolag.se/foretag/ceiling-distribution-center-group-scandinavia-ab/%C3%B6rebro/-/5566447537,[],556644-7537,18963,Ceiling Distribution Center Group Scandinavia AB,2003-05-20,Aktiebolag,3,,"Östra Vagngatan 5 b, 702 27 Örebro",Örebro,400Tkr,['46831 Partihandel med virke och andra byggmaterial'],Bolaget skall sälja byggmaterial samt bedriva konsultverksamhet i anslutning härtill ävensom idka därmed förenlig verksamhet.,,,
Proventum AB,https://www.allabolag.se/foretag/proventum-ab/%C3%B6rebro/-/5565918660,[],556591-8660,18938,Proventum AB,2000-06-29,Aktiebolag,4,"Slussgatan 31, 702 80 Örebro","Slussgatan 31, 702 80 Örebro",Örebro,5 000Tkr,['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder'],Bolagets verksamhet är uppförande och förvaltning av fastigheter och därmed förenlig verksamhet.,Björn Carl Jacob Ericsson,019-32 34 30,
Söderberg Oxhagen AB,https://www.allabolag.se/foretag/s%C3%B6derberg-oxhagen-ab/%C3%B6rebro/-/5568005457,[],556800-5457,18927,Söderberg Oxhagen AB,2010-02-09,Aktiebolag,0,"Signalgatan 3, 702 44 Örebro","Signalgatan 3, 702 44 Örebro",Örebro,100Tkr,"['68201 Uthyrning och förvaltning av egna eller arrenderade bostäder', '52219 Övrig stödverksamhet avseende landtransport']","Bolaget skall äga, förvalta och sälja fastigheter, samt därmed förenlig verksamhet.",Oscar Johan Ivar Söderberg,,
N.A. AUTOSERVICE AB,https://www.allabolag.se/foretag/n.a.-autoservice-ab/%C3%B6rebro/-/5590282777,[],559028-2777,18927,N.A. AUTOSERVICE AB,2015-09-29,Aktiebolag,15,"Mosjö-Råby 427, 705 94 Örebro","c/o Mirsad Islamovic, Mosjö-Råby 427, 705 94 Örebro",Örebro,50Tkr,"['49410 Vägtransport, godstrafik', '95311 Allmän service och reparation av motorfordon utom motorcyklar', '43500 Specialiserad bygg- och anläggningsverksamhet i samband med anläggningsarbeten']","Reperation och underhåll av personbilar, bussar, lastbilar och entreprenadmaskiner Rivning av hus samt mark- och grundarbeten Uthyrning av bygg- och anläggningsmaskiner med förare Bedriva kran o transport verksamhet Köp o försäljning av personbilar, bussar, lastbilar och entreprenadmaskiner Specialiserad bygg- och anläggningsverksamhet Byggande av bostadshus och andra byggnader Anläggningsarbeten Jordbruk och jakt samt service i anslutning härtill Fastighetsverksamhet Vägtransport, godstrafik och flyttjänster Handel samt reparation av motorfordon och motorcyklar",,,
Finshyttan Karlskoga Aktiebolag,https://www.allabolag.se/foretag/finshyttan-karlskoga-aktiebolag/karlskoga/-/5560997420,[],556099-7420,18926,Finshyttan Karlskoga Aktiebolag,1965-09-20,Aktiebolag,16,"Häsängsvägen 22, 691 42 Karlskoga","Box 94, 691 22 Karlskoga",Karlskoga,500Tkr,"['25530 Metallegoarbeten', '25510 Beläggning och överdragning av metall']",Bolaget skall driva mekanisk verkstadsindustrirörelse samt idka därmed förenlig verksamhet.,,0586-500 20,
Good Service Superglans AB,https://www.allabolag.se/foretag/good-service-superglans-ab/%C3%B6rebro/-/5568800956,[],556880-0956,18866,Good Service Superglans AB,2012-01-09,Aktiebolag,38,"Restalundsvägen 23, 702 16 Örebro","Restalundsvägen 23, 702 16 Örebro",Örebro,50Tkr,['96990 Diverse övriga konsumenttjänster'],Spel och Tobaksaffär Hemtjänst och städbolag,,,
JMS Vattenrening Aktiebolag,https://www.allabolag.se/foretag/jms-vattenrening-aktiebolag/%C3%B6rebro/-/5563834505,[],556383-4505,18865,JMS Vattenrening Aktiebolag,1990-01-12,Aktiebolag,3,"Grusgropsvägen 3, 702 36 Örebro","Grusgropsvägen 3, 702 36 Örebro",Örebro,115Tkr,['46649 Partihandel med diverse andra maskiner och diverse annan utrustning'],"Bolaget skall bedriva försäljning av vattenreningsutrustning, konsultverksamhet i vattenreningsfrågor samt därmed förenlig verksamhet.",John Roger Müntzing,077-112 45 00,
Sture Sohlbergs Bil och Motorservice Aktiebolag,https://www.allabolag.se/foretag/sture-sohlbergs-bil-och-motorservice-aktiebolag/karlskoga/-/5564243110,[],556424-3110,18845,Sture Sohlbergs Bil och Motorservice Aktiebolag,1991-04-15,Aktiebolag,9,"Hangarvägen 10, 691 35 Karlskoga","Hangarvägen 10, 691 35 Karlskoga",Karlskoga,100Tkr,['95311 Allmän service och reparation av motorfordon utom motorcyklar'],"Bolaget skall utföra bilreparationer, samt försäljning av reservdelar i anslutning härtill ävensom idka därmed förenlig verksamhet.",,0586-552 06,
MOZ Sweden AB,https://www.allabolag.se/foretag/moz-sweden-ab/%C3%B6rebro/-/5591890818,[],559189-0818,18833,MOZ Sweden AB,2019-01-02,Aktiebolag,1,"Norra Bro 332, 705 94 Örebro","Norra Bro 332, 705 94 Örebro",Örebro,50Tkr,['46499 Partihandel med övriga hushållsvaror'],"Bolaget ska bedriva design, försäljning samt tillverkning och import av inrednings- och hushållsprodukter för privat och offentlig miljö samt därmed förenlig verksamhet.",,,
Johan Backlund Bygg AB,https://www.allabolag.se/foretag/johan-backlund-bygg-ab/kumla/-/5591018170,[],559101-8170,18829,Johan Backlund Bygg AB,2017-02-22,Aktiebolag,10,"Kattfotsgatan 15, 692 71 Kumla","c/o Johan Backlund, Kattfotsgatan 15, 692 71 Kumla",Kumla,50Tkr,['43320 Byggnadssnickeriarbeten'],"Bolagets verksamhet ska vara att bedriva entreprenadverksamhet inom bygg och anläggning både till företag och privatpersoner, uthyrning av verktyg och ställning inom ovan nämnda område och därmed förenlig verksamhet.",,,
Fair energy group Sweden AB,https://www.allabolag.se/foretag/fair-energy-group-sweden-ab/%C3%B6rebro/-/5593437287,[],559343-7287,18826,Fair energy group Sweden AB,2021-11-01,Aktiebolag,4,"Radiatorvägen 7, 702 27 Örebro","Radiatorvägen 7, 702 27 Örebro",Örebro,25Tkr,"['43210 Elinstallationer', '46502 Partihandel med elektronikkomponenter']","Bolaget skall bedriva försäljning och installation av batterier, solceller samt därmed förenlig verksamhet",Sven Ivan Niklas Magnusson,,
Aktiebolaget Polyterm Isolering,https://www.allabolag.se/foretag/aktiebolaget-polyterm-isolering/fellingsbro/-/5560634189,[],556063-4189,18792,Aktiebolaget Polyterm Isolering,1956-08-08,Aktiebolag,10,"Hagalundsvägen 14, 732 71 Fellingsbro","Hagalundsvägen 14, 732 71 Fellingsbro",Fellingsbro,100Tkr,['22240 Byggplastvarutillverkning'],"Bolaget skall utföra isoleringsarbeten, bedriva tillverkning av moduler såsom väggelement, övrig bygg- och byggentreprenad- verksamhet, produktutveckling, försäljning och uthyrning av diverse bygg- och byggentreprenadprodukter'/maskiner, förvalta fast och lös egendom samt därmed förenlig verksamhet.",Hans Axel Jörgen Olsson,0581-62 08 30,
Min Assistans i Sverige AB,https://www.allabolag.se/foretag/min-assistans-i-sverige-ab/%C3%B6rebro/-/5569102840,[],556910-2840,18785,Min Assistans i Sverige AB,2012-11-13,Aktiebolag,31,"Sveavägen 2 a, 702 14 Örebro","Sveavägen 2 a, 702 14 Örebro",Örebro,50Tkr,['88102 Öppna sociala insatser för personer med funktionsnedsättning'],"Aktiebolaget ska bedriva konsultverksamhet inom läkemedel, vård och omsorg samt bedriva assistans för funktionsnedsatta enligt LSS och LASS samt bedriva boservice, äldre- och hemvård och därmed förenlig verksamhet.",,073-032 02 90,
Örebro Svets och Hydraulik Aktiebolag,https://www.allabolag.se/foretag/%C3%B6rebro-svets-och-hydraulik-aktiebolag/%C3%B6rebro/-/5562410802,[],556241-0802,18776,Örebro Svets och Hydraulik Aktiebolag,1984-04-03,Aktiebolag,12,"Singelvägen 15, 702 36 Örebro","c/o Nerike Kugg & Mekan AB, Grusgropsvägen 3, 702 36 Örebro",Örebro,200Tkr,"['25220 Tillverkning av andra cisterner, tankar, kar och andra behållare av metall']",Bolaget skall utföra svetsarbeten och hydraulmontage samt utöva därmed förenlig verksamhet.,,019-19 85 80,
MaltMagnus AB,https://www.allabolag.se/foretag/maltmagnus-ab/kumla/-/5568766801,[],556876-6801,18767,MaltMagnus AB,2011-12-15,Aktiebolag,5,"Östra Åby 408 Hagen, 692 93 Kumla","Östra Åby 408 Hagen, 692 93 Kumla",Kumla,50Tkr,"['10890 Framställning av diverse övriga livsmedel', '46380 Partihandel med andra livsmedel']","Aktiebolaget ska bedriva partihandel med malt, humle, jäst och övriga tillbehör till bryggerier samt därmed förenlig verksamhet.",Per Magnus Lindroos,,
QLNR i Örebro AB,https://www.allabolag.se/foretag/qlnr-i-%C3%B6rebro-ab/%C3%B6rebro/-/5593898975,[],559389-8975,18763,QLNR i Örebro AB,2022-07-18,Aktiebolag,26,"Gamla Vägen 14, 702 27 Örebro","Gamla Vägen 14, 702 27 Örebro",Örebro,25Tkr,['81210 Lokalvård'],"Bolaget ska bedriva verksamhet inom lokalvårdstjänster såsom hushållsnära tjänster, städning av bostäder till privatpersoner samt till företag därigenom förenlig verksamhet.",Suzanne Kristina Karlsson,,
Outdoor Xtrem Örebro AB,https://www.allabolag.se/foretag/outdoor-xtrem-%C3%B6rebro-ab/%C3%B6rebro/-/5568716764,[],556871-6764,18708,Outdoor Xtrem Örebro AB,2011-11-10,Aktiebolag,4,"Storgatan 26 Bv, 703 61 Örebro","Storgatan 26 Bv, 703 61 Örebro",Örebro,50Tkr,['47631 Detaljhandel med sport- och fritidsartiklar utom cyklar och båtar'],"Bolaget ska bedriva detaljhandel inom sportfiske, jakt, vapen, uteliv och övrig sportverksamhet och försäljning via internet i anslutning därtill, samt kursverksamhet och guideverksamhet inom fiske, jakt, uteliv och natur och därmed förenlig verksamhet.",Joakim Jozef Jan Keller,,
Bäckfallet Elektronik AB,https://www.allabolag.se/foretag/b%C3%A4ckfallet-elektronik-ab/kopparberg/-/5568152465,[],556815-2465,18684,Bäckfallet Elektronik AB,2010-07-22,Aktiebolag,6,"Skäretvägen 30 Bäckfallet, 714 92 Kopparberg","Skäretvägen 30 Bäckfallet, 714 92 Kopparberg",Kopparberg,50Tkr,['71123 Teknisk konsultverksamhet inom elteknik'],"Bolaget skall bedriva försäljning, produktion, konstruktion av elektronikprodukter främst hem- och fordonselektronik och därmed förenlig verksamhet.",,,
BraBom AB,https://www.allabolag.se/foretag/brabom-ab/%C3%B6rebro/-/5593750077,[],559375-0077,18672,BraBom AB,2022-04-07,Aktiebolag,1,"Vattenverksgatan 6, 702 27 Örebro","c/o RIMA Seafood AB, Vattenverksgatan 6, 702 27 Örebro",Örebro,25Tkr,"['46170 Provisionshandel med livsmedel, drycker och tobak', '64994 Förvaltning av och handel med värdepapper, för en begränsad och sluten krets av ägare']",Bolaget ska bedriva verksamhet i form av handel med livsmedel mot detaljhandel och restauranger. Äga och förvalta värdepapper och fastigheter samt därmed förenlig verksamhet.,Petter Arne Eric Bratt,,
Örebro MC AB,https://www.allabolag.se/foretag/%C3%B6rebro-mc-ab/%C3%B6rebro/-/5592835531,[],559283-5531,18642,Örebro MC AB,2020-11-17,Aktiebolag,4,"Manillagatan 5, 702 12 Örebro","Manillagatan 5, 702 12 Örebro",Örebro,25Tkr,['95320 Reparation och underhåll av motorcyklar'],"Service och försäljning av motorcyklar, mopeder och övriga fordon. Sortiment av utrustning, reservdelar och tillbehör.",Fredrik Anders Karl Gunnar Persson,,
Pacedomi AB,https://www.allabolag.se/foretag/pacedomi-ab/hallsberg/-/5590989355,[],559098-9355,18641,Pacedomi AB,2017-01-31,Aktiebolag,20,Hallsberg,"Box 127, 694 23 Hallsberg",Hallsberg,50Tkr,"['87991 Heldygnsvård med boende för barn och ungdomar med sociala problem', '87992 Omsorg och sociala insatser i övriga boendeformer för vuxna']","Bolaget ska erbjuda skyddat boende till hotade kvinnor och män. Bolaget skall driva hem för särskilt boende och vård, HVB hem. Bolaget ska erbjuda individuellt utformade handlingsplaner för företag som vill skydda sig mot fysiska angrepp, terrorhandlingar och hot. Bolaget ska erbjuda riskanalyser, säkerhets och trygg- hetsvandringar. Utbildningar och föreläsningar inom kris och mediahantering för företag och organisationer. Bolaget ska förvalta fastigheter och värdepapper och därmed förenlig verksamhet.",,,
Billagret i Örebro AB,https://www.allabolag.se/foretag/billagret-i-%C3%B6rebro-ab/%C3%B6rebro/-/5566975958,[],556697-5958,18611,Billagret i Örebro AB,2006-01-28,Aktiebolag,5,"Singelvägen 8, 702 36 Örebro","Singelvägen 8, 702 36 Örebro",Örebro,100Tkr,"['47811 Detaljhandel med personbilar och lätta motorfordon', '95311 Allmän service och reparation av motorfordon utom motorcyklar']",Bolaget skall bedriva handel med bilar.,,,
Herok Väst AB,https://www.allabolag.se/foretag/herok-v%C3%A4st-ab/%C3%B6rebro/-/5591454656,[],559145-4656,18606,Herok Väst AB,2018-01-17,Aktiebolag,4,"Myrmalmsgatan 2, 703 83 Örebro","Myrmalmsgatan 2, 703 83 Örebro",Örebro,50Tkr,['77320 Uthyrning och leasing av bygg- och anläggningsmaskiner'],Bolaget ska bedriva uthyrning och leasing av bygg och anläggningsmaskiner samt därmed förenlig verksamhet.,,,
